starttime	text	fname	is_action	dates	locations	names
64.47	Well I'll uh start just with another presentation , so then we can uh look at th at the agenda uh for this meeting .	TS3009b.A.words.xml	start	[]	[]	[]
99.75	Well um in we'll uh just have a look at the at the notes from the previous meeting , what we uh thought we had dec decided .	TS3009b.A.words.xml	have	[]	[]	[dec]
110.82	Uh then we'll uh look at uh the three uh presentations uh from you .	TS3009b.A.words.xml	look	[]	[]	[]
122.35	Um we'll look at th the new project requirements we uh I dunno .	TS3009b.A.words.xml	look	[]	[]	[]
132.31	Oh I've received a mail with uh some additional requirements , and I'll have a look if Well I think we should show them before your presentations , because it's not really uh 	TS3009b.A.words.xml	have	[]	[]	[]
149.44	Well um then we can make some decisions about our remote control functions .	TS3009b.A.words.xml	make	[]	[]	[]
159.54	And then uh we can discuss uh some more closely .	TS3009b.A.words.xml	discuss	[]	[]	[]
175.7	Um now I'll look at show this board .	TS3009b.A.words.xml	look	[]	[]	[]
204.76	we have to merge the strong points from our uh competitors , and uh look at their uh remote controls .	TS3009b.A.words.xml	look	[]	[]	[]
210.91	We should make it uh compatible with our new D.V.D. and other releases we have , our technical releases .	TS3009b.A.words.xml	make	[]	[]	[]
224.75	And um well they can have two functions , because uh you have a D.V.D. and a television .	TS3009b.A.words.xml	have	[]	[]	[]
275.12	Um now the new project requirements , I'll just show them .	TS3009b.A.words.xml	show	[]	[]	[]
320.28	Um well it's a bit pity because it's just those people want to have uh one remote control for all those technical devices they can uh reach it .	TS3009b.A.words.xml	reach	[]	[]	[]
332.75	Well and uh our corporate image should stay rec recognisable in our products .	TS3009b.A.words.xml	stay	[]	[]	[]
399.22	Well s then start .	TS3009b.A.words.xml	start	[]	[]	[]
586.07	So if you deliver a small uh click-on device that you can put on your television , that bleeps to your remote control , everyone can use it .	TS3009b.A.words.xml	use	[]	[]	[]
595.74	No you can click it on your television .	TS3009b.A.words.xml	click	[]	[]	[]
612.92	Well we'll have a look at it , yeah .	TS3009b.A.words.xml	have	[]	[]	[]
689.59	Well we'll have a look .	TS3009b.A.words.xml	have	[]	[]	[]
845.69	Well go ahead .	TS3009b.A.words.xml	go	[]	[]	[]
901.82	Click .	TS3009b.A.words.xml	Click	[]	[]	[]
1115.52	No but the most important buttons m maybe you can just put them a bit apart so you would 	TS3009b.A.words.xml	put	[]	[]	[]
1122.21	reject R. R.S.I. R.S.I. .	TS3009b.A.words.xml	reject	[]	[]	[R., R.S.I., R.S.I.]
1219.01	Then uh Mike can uh give the third presentation .	TS3009b.A.words.xml	give	[]	[]	[Mike]
1233.18	Well then we have still the time , so But we do have to come to a decision , right later on .	TS3009b.A.words.xml	have	[]	[]	[]
1370.45	make someone w 	TS3009b.A.words.xml	make	[]	[]	[]
1479.92	Well what if we um I at I at home have a remote that has um the most familiar uh buttons on the top , and the bottom side of the front has a little clip , a f a little uh You can click away and then you have f much more functions that most people don't use but s some do do .	TS3009b.A.words.xml	click	[]	[]	[]
1547.88	Well maybe w we could uh s On um some uh calculators you have lo those little little L.C.D. th that you can click on or something , or that you can click uh out uh of the remote .	TS3009b.A.words.xml	click	[]	[]	[lo, L.C.D.]
1657.35	Um we can use this board again , I think .	TS3009b.A.words.xml	use	[]	[]	[]
1660.58	Uh we can put some um decisions about um the controls we want , th the issue .	TS3009b.A.words.xml	put	[]	[]	[]
1859.82	Well but uh what what if we we first decide the different functions , and then look at the design .	TS3009b.A.words.xml	look	[]	[]	[]
2095.28	But you will have to make consensus with .	TS3009b.A.words.xml	have	[]	[]	[]
2222.71	We'll have uh those uh buttons about uh 	TS3009b.A.words.xml	have	[]	[]	[]
2230.55	You can make it wider and less wide .	TS3009b.A.words.xml	make	[]	[]	[]
2292.83	Go to video , that's always on your remote control .	TS3009b.A.words.xml	Go	[]	[]	[]
2327.43	No you can ch push zero .	TS3009b.A.words.xml	push	[]	[]	[]
17.62	get this .	ES2016d.A.words.xml	get	[]	[]	[]
