	date	time	speaker	text
0				
1		10:25:22 PM	mahoonie    	Hi, AshleyReyes1! I would like to add you to friends!
2		10:27:52 PM	AshleyReyes1	Hi, mahoonie! I accepted your friendship request!
3	July 14th	10:37:18 PM	mahoonie    	Hey beautiful, hru?July 14th
4	July 14th	1:48:39 AM	mahoonie    	Will you play with yourself with clothes on?
5	July 14th	1:49:03 AM	AshleyReyes1	yes
6	July 14th	1:49:16 AM	mahoonie    	Will you cum?
7	July 14th	1:49:40 AM	AshleyReyes1	yes
8	July 14th	1:49:52 AM	AshleyReyes1	but
9	July 14th	1:50:00 AM	AshleyReyes1	i have to see you
10	July 14th	1:51:34 AM	AshleyReyes1	hi
11	July 14th	1:51:43 AM	mahoonie    	Hey
12	July 14th	1:51:58 AM	AshleyReyes1	so
13	July 14th	1:52:04 AM	AshleyReyes1	show me
14	July 14th	1:52:14 AM	mahoonie    	Not yet
15	July 14th	1:52:31 AM	mahoonie    	You have to make me hard
16	July 14th	1:52:55 AM	AshleyReyes1	come to me already excited, I'm in clothes
17	July 14th	1:53:15 AM	mahoonie    	Play with yourself
18	July 14th	1:53:26 AM	mahoonie    	You're beautiful
19	July 14th	1:53:34 AM	AshleyReyes1	thanks
20	July 14th	1:53:38 AM	mahoonie    	I need sexy
21	July 14th	1:55:33 AM	mahoonie    	Got too excited
22	July 14th	1:56:50 AM	AshleyReyes1	i cant see
23	July 14th	1:56:57 AM	AshleyReyes1	honey
24	July 14th	1:57:35 AM	mahoonie    	Cum for me
25	July 14th	1:57:58 AM	AshleyReyes1	and then you are for me?
26	July 14th	1:58:05 AM	mahoonie    	Yes
27	July 14th	1:58:09 AM	AshleyReyes1	good
28	July 14th	1:58:12 AM	AshleyReyes1	ggo
29	July 14th	1:59:25 AM	AshleyReyes1	I am very excited
30	July 14th	1:59:41 AM	AshleyReyes1	if I look at you, at your cock. i can cum
31	July 14th	2:01:11 AM	AshleyReyes1	sorry
32	July 14th	2:01:35 AM	mahoonie    	what happened?
33	July 14th	2:01:48 AM	AshleyReyes1	i finished
