0,duration,count,duration/count
Social ,13 days 18:45:00.000000000,81,0 days 04:05:00.000000000
Cancun ,6 days 00:00:00.000000000,3,2 days 00:00:00.000000000
Code ,5 days 03:00:00.000000000,71,0 days 01:43:56.619718309
 Mati ,3 days 20:30:00.000000000,12,0 days 07:42:30.000000000
Day off,3 days 00:00:00.000000000,3,1 days 00:00:00.000000000
 Beach,2 days 21:00:00.000000000,7,0 days 09:51:25.714285714
Cleanup ,2 days 02:30:00.000000000,42,0 days 01:12:08.571428571
Shiran ,2 days 02:00:00.000000000,15,0 days 03:20:00.000000000
 Isla Mujeres,2 days 00:00:00.000000000,1,2 days 00:00:00.000000000
 Fundemica,2 days 00:00:00.000000000,1,2 days 00:00:00.000000000
 Jonathan ,2 days 00:00:00.000000000,1,2 days 00:00:00.000000000
 Shasta Lake,2 days 00:00:00.000000000,1,2 days 00:00:00.000000000
 Social ,2 days 00:00:00.000000000,1,2 days 00:00:00.000000000
 Tulum,2 days 00:00:00.000000000,1,2 days 00:00:00.000000000
Analyze ,1 days 22:00:00.000000000,21,0 days 02:11:25.714285714
 email,1 days 18:30:00.000000000,34,0 days 01:15:00.000000000
 Text2Vid,1 days 14:30:00.000000000,18,0 days 02:08:20.000000000
 Problem Solving,1 days 13:30:00.000000000,30,0 days 01:15:00.000000000
 Mati,1 days 11:00:00.000000000,10,0 days 03:30:00.000000000
 Interview ,1 days 06:00:00.000000000,14,0 days 02:08:34.285714285
Learn ,1 days 03:00:00.000000000,16,0 days 01:41:15.000000000
ML ,1 days 02:00:00.000000000,12,0 days 02:10:00.000000000
.,1 days 00:00:00.000000000,1,1 days 00:00:00.000000000
 Power and Politics,1 days 00:00:00.000000000,15,0 days 01:36:00.000000000
יום חופש,1 days 00:00:00.000000000,1,1 days 00:00:00.000000000
 System Design,0 days 18:30:00.000000000,9,0 days 02:03:20.000000000
 Mushroom ceremony ,0 days 17:00:00.000000000,1,0 days 17:00:00.000000000
Socail ,0 days 17:00:00.000000000,1,0 days 17:00:00.000000000
 Riccardo,0 days 17:00:00.000000000,1,0 days 17:00:00.000000000
Plan ,0 days 16:30:00.000000000,13,0 days 01:16:09.230769230
Real Estate ,0 days 16:15:00.000000000,9,0 days 01:48:20.000000000
 Preparation ,0 days 16:00:00.000000000,8,0 days 02:00:00.000000000
Flight  UA955 TLV to SFO,0 days 15:05:00.000000000,1,0 days 15:05:00.000000000
 Park,0 days 15:00:00.000000000,3,0 days 05:00:00.000000000
Flight  UA954 SFO to TLV,0 days 13:55:00.000000000,1,0 days 13:55:00.000000000
 Monica,0 days 13:00:00.000000000,4,0 days 03:15:00.000000000
Flight to San Francisco (DL 4362),0 days 11:05:00.000000000,1,0 days 11:05:00.000000000
 Sella,0 days 11:00:00.000000000,4,0 days 02:45:00.000000000
 Movie night,0 days 11:00:00.000000000,3,0 days 03:40:00.000000000
 Week,0 days 10:00:00.000000000,10,0 days 01:00:00.000000000
 Hike,0 days 10:00:00.000000000,2,0 days 05:00:00.000000000
" Eyal, Daniel, Ziv, Guy",0 days 09:00:00.000000000,2,0 days 04:30:00.000000000
 Deepmoney ,0 days 09:00:00.000000000,3,0 days 03:00:00.000000000
 Interview,0 days 09:00:00.000000000,5,0 days 01:48:00.000000000
 Gilad Shamri,0 days 09:00:00.000000000,2,0 days 04:30:00.000000000
 BBQ,0 days 08:30:00.000000000,2,0 days 04:15:00.000000000
 Move,0 days 08:00:00.000000000,1,0 days 08:00:00.000000000
 Liad,0 days 08:00:00.000000000,3,0 days 02:40:00.000000000
 Liad ,0 days 08:00:00.000000000,1,0 days 08:00:00.000000000
 Sella ,0 days 08:00:00.000000000,4,0 days 02:00:00.000000000
Trip ,0 days 08:00:00.000000000,2,0 days 04:00:00.000000000
Check account,0 days 07:30:00.000000000,8,0 days 00:56:15.000000000
 Hike + Dinner,0 days 07:00:00.000000000,1,0 days 07:00:00.000000000
 Face detection,0 days 07:00:00.000000000,3,0 days 02:20:00.000000000
 YC ,0 days 06:30:00.000000000,5,0 days 01:18:00.000000000
Startup ,0 days 06:30:00.000000000,5,0 days 01:18:00.000000000
What to do,0 days 06:00:00.000000000,6,0 days 01:00:00.000000000
Cheeps ,0 days 06:00:00.000000000,2,0 days 03:00:00.000000000
 Limor ,0 days 06:00:00.000000000,1,0 days 06:00:00.000000000
 System design,0 days 06:00:00.000000000,3,0 days 02:00:00.000000000
 wedding,0 days 06:00:00.000000000,1,0 days 06:00:00.000000000
 bathroom,0 days 06:00:00.000000000,6,0 days 01:00:00.000000000
 Elastic Beans,0 days 06:00:00.000000000,2,0 days 03:00:00.000000000
 Sivan,0 days 06:00:00.000000000,2,0 days 03:00:00.000000000
 Unity,0 days 06:00:00.000000000,2,0 days 03:00:00.000000000
Flight to London (DL 4421),0 days 05:20:00.000000000,1,0 days 05:20:00.000000000
" Maya, Gal ",0 days 05:00:00.000000000,1,0 days 05:00:00.000000000
 previous year budget,0 days 05:00:00.000000000,1,0 days 05:00:00.000000000
 Poker,0 days 05:00:00.000000000,2,0 days 02:30:00.000000000
 Lunch + Park presidio,0 days 05:00:00.000000000,1,0 days 05:00:00.000000000
 Problem Solving ,0 days 05:00:00.000000000,3,0 days 01:40:00.000000000
" Sella, Mati, Gal ",0 days 05:00:00.000000000,1,0 days 05:00:00.000000000
 Nir,0 days 05:00:00.000000000,1,0 days 05:00:00.000000000
 Shiran's Family,0 days 05:00:00.000000000,1,0 days 05:00:00.000000000
 previous year investments,0 days 05:00:00.000000000,1,0 days 05:00:00.000000000
