0,duration,count,1
social,300.5,72,
ml,277.5,109,
investments,78,29,
real estate,69,26,
money,52,20,
cleanup,30.5,15,
learn,25,11,
planning,23,7,
2nd law,13,4,physics
economics,11,5,
hungover,11,1,
biology,10,5,
history,9.5,4,
haircut,9,8,
read,9,7,
poker,9,2,
green card,8,3,
course,7,3,learn - course
categorize thoughts,7,3,
interview,6.5,3,
work,6.5,3,
health,6,2,
לבדוק חשבון,6,2,money - check account
sick,5.5,1,
watch,4.5,3,
garageband,4,2,
friends meeting,4,1,ml - deep money - friends meeting
cookies,4,1,social - cookies
think,4,1,
what to do for fun,3,1,think - what to do for fun
time use analysis,3,1,
thoughts,3,1,think
find resources for coding interviews for shiran,3,1,shiran - find resources for coding interviews for shiran
תל אביב,3,1,social - tel aviv
food,3,1,
origin of letters,3,1,
מה לעשות,2.5,1,planning
politics,2.5,1,
donation,2,1,
shirans videos,2,1,shiran - shirans videos
how to research,2,1,think - how to research
take car,2,1,
github tutorial,2,1,
plan,1.75,1,planning
sum per week,1.5,1,shiran - sum per week
billie jean,1.5,1,
fix shiran's network issue,1,1,shiran - fix shiran's network issue
filemaker,1,1,
startup,1,1,
preparations for flight,1,1,
bookmark solution,1,1,think - bookmark solution
מכתב לסבתא,0.5,1,
