,Word,definition
0,the,"Definite grammatical article that implies necessarily that an entity it articulates is presupposed; something already mentioned, or completely specified later in that same sentence, or assumed already completely specified. [from 10th c.]"
1,the,"With a comparative or more and a verb phrase, establishes a parallel with one or more other such comparatives."
2,of,Expressing distance or motion.
3,of,"(usually in modal perfect constructions) Eye dialect spelling of have or ’ve, chiefly in depictions of colloquial speech."
4,and,(Britain dialectal) Breath.
5,and,"(Britain dialectal, intransitive) To breathe; whisper; devise; imagine."
6,and,As a coordinating conjunction; expressing two elements to be taken together or in addition to each other.
7,and,"(music, often informal) In rhythm, the second half of a divided beat."
8,to,"Indicating destination: In the direction of, and arriving at."
9,to,"Toward a closed, touching or engaging position."
10,in,"Used to indicate location, inclusion, or position within spatial, temporal or other limits."
11,in,"(obsolete, transitive) To enclose."
12,in,Inch.
13,in,"(not comparable) Located indoors, especially at home or the office, or inside something."
14,in,A position of power or a way to get it.
15,in,In fashion; popular.
16,i,"The ninth letter of the English alphabet, called i and written in the Latin script."
17,i,The name of the Latin-script letter I/i.
18,i,Nonstandard spelling of I.
19,that,"Introducing a clause which is the subject or object of a verb (such as one involving reported speech), or which is a complement to a previous statement."
20,that,"The (thing, person, idea, etc) indicated or understood from context, especially if more remote physically, temporally or mentally than one designated as ""this"", or if expressing distinction."
21,that,"(demonstrative) The thing, person, idea, quality, event, action, or time indicated or understood from context, especially if more remote geographically, temporally or mentally than one designated as ""this"", or if expressing distinction. [from 9thc.]"
22,that,(degree) To a given extent or degree.
23,that,(philosophy) Something being indicated that is there; one of those.
24,was,first-person singular simple past indicative of be.
25,his,Belonging to him. [from 8th c.]
26,his,"That which belongs to him; the possessive case of he, used without a following noun."
27,his,plural of hi
28,he,(personal) A male person or animal already known or implied.
29,he,(African American Vernacular) Synonym of his
30,he,"(uncountable) The game of tag, or it, in which the player attempting to catch the others is called ""he""."
31,he,"The name of the fifth letter of many Semitic alphabets (Phoenician, Aramaic, Hebrew, Syriac, Arabic and others)."
32,it,"The third-person singular personal pronoun that is normally used to refer to an inanimate object or abstract entity, also often used to refer to animals."
33,it,(obsolete) its
34,it,One who is neither a he nor a she; a creature; a dehumanized being.
35,it,(colloquial) Most fashionable.
36,it,Italy.
37,with,Against.
38,with,"(US) Along, together with others, in a group, etc."
39,with,Alternative form of withe
40,is,plural of i
41,is,Third-person singular simple present indicative form of be
42,for,"Because, as, since."
43,for,Towards.
44,as,plural of a
45,as,To such an extent or degree; to the same extent or degree.
46,as,In the (same) way or manner that; to the (same) degree that.
47,as,"Introducing a basis of comparison, with an object in the objective case."
48,as,(unit of weight) A libra.
49,had,simple past tense and past participle of have.
50,had,(obsolete) Available.
51,you,"(object pronoun) The people spoken, or written to, as an object. [from 9th c.]"
52,you,The individual or group spoken or written to.
53,you,"(transitive) To address (a person) using the pronoun you, rather than thou, especially historically when you was more formal."
54,not,Negates the meaning of the modified verb.
55,not,And not.
56,not,"(slang, 1990s) Used to indicate that the previous phrase was meant sarcastically or ironically."
57,not,alternative typography of NOT
58,be,"(intransitive, now literary) To exist; to have real existence."
59,her,Belonging to her.
60,her,"The form of she used after a preposition or as the object of a verb; that woman, that ship, etc."
61,her,(informal) A female person or animal.
62,on,"(Britain dialectal, Scotland) Without."
63,on,"In the state of being active, functioning or operating."
64,on,To an operating state.
65,on,"Positioned at the upper surface of, touching from above."
66,on,"(transitive, Singapore, Philippines) to switch on"
67,on,"In the Japanese language, a pronunciation, or reading, of a kanji character that was originally based on the character's pronunciation in Chinese, contrasted with kun."
68,at,"In, near, or in the general vicinity of a particular place."
69,at,The at sign (@).
70,at,Alternative form of att (Laos currency unit)
71,at,"(Northern England, rare, possibly obsolete) Alternative form of 'at (relative pronoun; reduced form of ""that"")"
72,by,Near or next to.
73,by,Along a path which runs by the speaker.
74,by,"Out of the way, subsidiary."
75,by,(card games) A pass
76,by,Alternative spelling of bye
77,which,"(interrogative) What, of those mentioned or implied."
78,which,(interrogative) What one or ones (of those mentioned or implied).
79,which,An occurrence of the word which.
80,have,"(transitive) To possess, own, hold."
81,have,A wealthy or privileged person.
82,have,"(Australia, New Zealand, informal) A fraud or deception; something misleading."
83,or,"(logic, electronics) Alternative form of OR"
84,or,(obsolete) Early (on).
85,or,(now archaic or dialectal) Before; ere.
86,or,(heraldry) The gold or yellow tincture on a coat of arms.
87,or,(heraldry) Of gold or yellow tincture on a coat of arms.
88,or,"Connects at least two alternative words, phrases, clauses, sentences, etc. each of which could make a passage true. In English, this is the ""inclusive or."" The ""exclusive or"" is formed by ""either […] or""."
89,from,With the source or provenance of or at.
90,this,The (thing) here (used in indicating something or someone nearby).
91,this,To the degree or extent indicated.
92,this,"The thing, item, etc. being indicated."
93,this,(philosophy) Something being indicated that is here; one of these.
94,this,(Internet slang) Indicates the speaker's strong approval or agreement with the previous material.
95,him,A masculine pronoun; he as a grammatical object.
96,him,(informal) A male person.
97,but,"Apart from, except (for), excluding."
98,but,"Merely, only, just."
99,but,"On the contrary, rather (as a regular adversative conjunction, introducing a word or clause in contrast or contradiction with the preceding negative clause or sentence)."
100,but,"An instance or example of using the word ""but""."
101,but,"(archaic) Use the word ""but""."
102,all,"Every individual or anything of the given class, with no exceptions (the noun or noun phrase denoting the class must be plural or uncountable)."
103,all,Everything.
104,all,(degree) Intensifier.
105,all,(with a possessive pronoun) Everything that one is capable of.
106,all,(obsolete) Although.
107,she,(personal) The female person or animal previously mentioned or implied.
108,she,(African American Vernacular) Synonym of her
109,she,A female.
110,they,(US dialectal) There (especially as an expletive subject of be). [from 19th c.]
111,they,"(the third-person plural) A group of people, animals, plants, or objects previously mentioned. [since the 1200s]"
112,they,"(now Southern England dialectal or nonstandard) The, those. [from 14th c.]"
113,were,(obsolete) A fine for slaying a man; weregild.
114,were,Second-person singular simple past tense indicative of be.
115,my,"Used to express surprise, shock or amazement."
116,my,First-person singular possessive determiner. See Appendix:Possessive#English.
117,are,"(obsolete or dialectal) Grace, mercy."
118,are,second-person singular simple present of be
119,are,"(rare) An accepted (but deprecated and rarely used) SI unit of area equal to 100 square metres, or a former unit of approximately the same extent. Symbol: a."
120,me,As the direct object of a verb.
121,me,"(Britain  regional, Ireland) Alternative form of my"
122,one,(cardinal) The number represented by the Arabic numeral 1; the numerical value equal to that cardinal number.
123,one,"(impersonal pronoun, indefinite) One thing (among a group of others); one member of a group."
124,one,The digit or figure 1.
125,one,"Of a period of time, being particular."
126,one,"(obsolete, transitive) To cause to become one; to gather into a single whole; to unite."
127,their,"Belonging to, from, of, or relating to, them (plural)."
128,their,Misspelling of there.
129,so,In order that.
130,so,To the (explicitly stated) extent that.
131,so,"True, accurate."
132,so,"Used after a pause for thought to introduce a new topic, question or story."
133,so,Abbreviation of someone.
134,so,(music) A syllable used in solfège to represent the fifth note of a major scale.
135,so,(foods) A type of dairy product made in Japan between the seventh and 10th centuries.
136,an,Form of a (all article senses).
137,an,(archaic) If
138,an,"The first letter of the Georgian alphabet, ა (Mkhedruli), Ⴀ (Asomtavruli) or ⴀ (Nuskhuri)."
139,an,In each; to or for each; per.
140,said,simple past tense and past participle of say
141,said,Mentioned earlier; aforesaid.
142,said,Mentioned earlier; aforesaid.
143,them,Objective case of they: third personal plural pronoun used after a preposition or as the object of a verb.
144,them,(dialectal) Those.
145,we,"(personal) The speakers/writers, or the speaker/writer and at least one other person (not the person being addressed). (This is the exclusive we.)"
146,we,"The speakers/writers, or the speaker/writer and at least one other person."
147,who,(interrogative) What person or people; which person or people; asks for the identity of someone. (used in a direct or indirect question)
148,who,A person under discussion; a question of which person.
149,would,(heading) As a past-tense form of will.
150,would,"Something that would happen, or would be the case, under different circumstances; a potentiality."
151,been,(Southern US) infinitive of be
152,been,(obsolete) plural simple present of be
153,been,(Britain dialectal) plural of bee
154,been,past participle of be
155,will,"(rare, transitive) To wish, desire (something). [9th-18th c.]"
156,will,One's independent faculty of choice; the ability to be able to exercise one's choice or intention. [from 9th c.]
157,will,"(archaic) To wish, desire. [9th–19th c.]"
158,no,Not any.
159,no,"(now only used with comparatives, except in  Scotland) Not, not at all."
160,no,A negating expression; an answer that shows disagreement or disapproval.
161,no,(archaic) Alternative form of No.
162,no,Alternative form of No.
163,when,(interrogative) Used to introduce questions about time.
164,when,At what time.
165,when,(interrogative) What time; which time.
166,when,The time at which something happens.
167,when,"That's enough, a command to stop adding something, especially an ingredient of food or drink."
168,there,"(location) In a place or location (stated, implied or otherwise indicated) at some distance from the speaker (compare here)."
169,there,Used to offer encouragement or sympathy.
170,there,That place.
171,there,"Used as an expletive subject of be in its sense of “exist”, with the semantic, usually indefinite subject being postponed or (occasionally) implied."
172,there,Misspelling of their.
173,if,"Supposing that, assuming that, in the circumstances that; used to introduce a condition or choice."
174,if,"(informal) An uncertainty, possibility, condition, doubt etc."
175,more,comparative degree of many: in greater number. (Used for a discrete quantity.)
176,more,To a greater degree or extent. [from 10thc.]
177,more,A greater number of people or things.
178,more,An extra amount or extent.
179,more,(obsolete) A carrot; a parsnip.
180,more,(transitive) To root up.
181,out,Away from the inside or the centre.
182,out,"(nonstandard, contraction of out of) Away from the inside."
183,out,"A means of exit, escape, reprieve, etc."
184,out,(transitive) To eject; to expel.
185,out,Not at home; not at one's office or place of employment.
186,out,"(procedure word, especially military) A radio procedure word meaning that the station is finished with its transmission and does not expect a response."
187,up,Away from the surface of the Earth or other planet; in opposite direction to the downward pull of gravity.
188,up,Toward the top of.
189,up,Awake.
190,up,(uncountable) The direction opposed to the pull of gravity.
191,up,"(transitive, colloquial) To increase or raise."
192,into,Going inside (of).
193,do,(auxiliary) A syntactic marker
194,do,"(colloquial) A party, celebration, social function."
195,do,(music) A syllable used in solfège to represent the first and eighth tonic of a major scale.
196,do,(rare) Abbreviation of ditto.
197,any,"To even the slightest extent, at all."
198,any,At least one; of at least one kind. One at all.
199,any,Any thing(s) or person(s).
200,your,Belonging to you; of you; related to you (singular; one owner).
201,what,"(interrogative) Which thing, event, circumstance, etc.: used interrogatively in asking for the specification of an identity, quantity, quality, etc."
202,what,"(usually followed by ""with"") In some manner or degree; in part; partly. See also what with"
203,what,An expression of surprise or disbelief.
204,what,Which; which kind of.
205,what,"(obsolete, uncountable) Something; thing; stuff."
206,has,Third-person singular simple present indicative form of have
207,man,(transitive) To supply (something) with staff or crew (of either sex).
208,man,An adult male human.
209,man,Only used in man enough
210,man,"Used to place emphasis upon something or someone; sometimes, but not always, when actually addressing a man."
211,could,simple past tense of can
212,could,"Something that could happen, or could be the case, under different circumstances; a potentiality."
213,other,See other (determiner) below
214,other,"An other one, more often rendered as another."
215,other,Not the one or ones previously referred to.
216,other,"Apart from; in the phrase ""other than""."
217,other,"(transitive) To regard, label, or treat as an ""other"", as not part of the same group; to view as different and alien."
218,than,"(obsolete outside dialectal, usually used with for) Because; for."
219,than,"introduces a comparison, and is associated with comparatives, and with words such as more, less, and fewer. Typically, it seeks to measure the force of an adjective or similar description between two predicates."
220,than,(now chiefly dialectal) At that time; then.
221,our,Belonging to us.
222,our,Misspelling of are.
223,some,"A certain number, at least one."
224,some,"A certain proportion of, at least one."
225,some,"Of a measurement: approximately, roughly"
226,very,"True, real, actual."
227,very,To a great extent or degree; extremely; exceedingly.
228,time,(uncountable) The inevitable progression into the future with the passing of present events into the past.
229,time,"To measure or record the time, duration, or rate of."
230,time,(tennis) Reminder by the umpire for the players to continue playing after their pause.
231,upon,Physically above and in contact with.
232,upon,Being the target of an action.
233,about,In a circle around; all round; on every side of; on the outside of. [First attested prior to 1150.]
234,about,Not distant; approximate.
235,about,Moving around; astir.
236,may,The hawthorn bush or its blossoms.
237,may,"(poetic, intransitive) To gather may, or flowers in general."
238,may,(archaic) A maiden.
239,may,"(obsolete, intransitive) To be strong; to have power (over). [8th–17th c.]"
240,its,Belonging to it. [from 16th c.]
241,its,The one (or ones) belonging to it. [from 17th c.]
242,its,plural of it
243,only,Alone in a category.
244,only,Without others or anything further; exclusively.
245,only,Under the condition that; but.
246,only,An only child.
247,now,Present; current.
248,now,At the present time.
249,now,"Since, because, in light of the fact; often with that."
250,now,Indicates a signal to begin.
251,now,(uncountable) The present time.
252,now,Misspelling of know.
253,like,"(transitive, archaic) To please."
254,like,(usually in the plural) Something that a person likes (prefers).
255,like,Similar.
256,like,"(informal) For example, such as: to introduce an example or list of examples."
257,like,"(sometimes as the likes of) Someone similar to a given person, or something similar to a given object; a comparative; a type; a sort."
258,like,"(colloquial) As, the way."
259,like,"Similar to, reminiscent of."
260,like,"(Liverpudlian, Geordie) Used to place emphasis upon a statement."
261,little,Small in size.
262,little,Not much.
263,little,"Not much, only a little: only a small amount (of)."
264,little,Not much; not a large amount.
265,little,"(BDSM, slang) The participant in ageplay who acts out the younger role."
266,then,(temporal location) At that time.
267,then,Being so at that time.
268,then,That time
269,then,Obsolete spelling of than
270,can,"(auxiliary  verb, defective) To know how to; to be able to."
271,can,"A more or less cylindrical vessel for liquids, usually of steel or aluminium, but sometimes of plastic, and with a carrying handle over the top."
272,can,"To preserve, by heating and sealing in a can or jar."
273,should,(auxiliary) Be obliged to; have an obligation to; indicates that the subject of the sentence has some obligation to execute the sentence predicate or that the speaker has some strong advice but has no authority to enforce it.
274,should,A statement of what ought to be the case as opposed to what is the case.
275,should,"To make a statement of what ought to be true, as opposed to reality."
276,made,(Britain dialectal or obsolete) A grub or maggot.
277,made,simple past tense and past participle of make
278,did,simple past tense of do
279,us,plural of u
280,us,Alternative spelling of µs: microsecond
281,us,(personal) Me and at least one other person; the objective case of we.
282,us,"The speakers/writers, or the speaker/writer and at least one other person."
283,such,"(demonstrative) Like this, that, these, those; used to make a comparison with something implied by context."
284,such,"A person, a thing, people, or things like the one or ones already mentioned."
285,such,(philosophy) Something being indicated that is similar to something else.
286,a,(chiefly Scotland) All. [First attested from 1350 to 1470.]
287,a,(chiefly Scotland) All. [First attested from 1350 to 1470.]
288,a,"(archaic, slang) Of."
289,a,One; any indefinite example of; used to denote a singular item of a group. [First attested prior to 1150]
290,a,"(archaic) To do with position or direction; In, on, at, by, towards, onto. [First attested before 1150]"
291,a,"(archaic or slang) Have. [between 1150 and 1350, continued in some use until 1650; used again after 1950]"
292,a,(obsolete outside England and Scotland dialectal) He. [1150-1900]
293,a,A meaningless syllable; ah.
294,a,"(archaic, slang) Of."
295,a,(chiefly Scotland) All. [First attested from 1350 to 1470.]
296,a,(chiefly Scotland) All. [First attested from 1350 to 1470.]
297,a,Distance from leading edge to aerodynamic center.
298,a,(obsolete outside England and Scotland dialectal) He. [1150-1900]
299,a,"(archaic or slang) Have. [between 1150 and 1350, continued in some use until 1650; used again after 1950]"
300,a,A meaningless syllable; ah.
301,a,"(archaic) To do with position or direction; In, on, at, by, towards, onto. [First attested before 1150]"
302,a,One; any indefinite example of; used to denote a singular item of a group. [First attested prior to 1150]
303,a,"The first letter of the English alphabet, called a and written in the Latin script."
304,a,"The ordinal number first, derived from this letter of the English alphabet, called a and written in the Latin script."
305,a,The name of the Latin script letter A/a.
306,great,"Relatively large in scale, size, extent, number (i. e. having many parts or members) or duration (i. e. relatively long); very big."
307,great,Expression of gladness and content about something.
308,great,"A person of major significance, accomplishment or acclaim."
309,great,very well (in a very satisfactory manner)
310,before,Earlier than (in time).
311,before,At an earlier time.
312,before,in advance of the time when
313,must,A time during which male elephants exhibit increased levels of sexual activity and aggressiveness (also spelled musth).
314,must,The property of being stale or musty.
315,must,(transitive) To make musty.
316,must,"(modal  auxiliary, defective) To do with certainty; indicates that the speaker is certain that the subject will have executed the predicate."
317,must,Something that is mandatory or required.
318,two,(cardinal) A numerical value equal to 2; this many dots (••). Ordinal: second.
319,two,The digit/figure 2.
320,these,plural of this
321,these,plural of this
322,see,"(stative) To perceive or detect with the eyes, or as if by sight."
323,see,Directing the audience to pay attention to the following
324,see,"A diocese, archdiocese; a region of a church, generally headed by a bishop, especially an archbishop."
325,know,(transitive) To perceive the truth or factuality of; to be certain of or that.
326,know,(rare) Knowledge; the state of knowing.
327,over,Discontinued; ended or concluded.
328,over,Thoroughly; completely; from beginning to end.
329,over,(cricket) A set of six legal balls bowled.
330,over,Physical positioning.
331,over,"In radio communications: end of sentence, ready to receive reply."
332,over,"(rare, dialectal or obsolete) A shore, riverbank."
333,much,A large amount of. [from 13thc.]
334,much,"(obsolete) Large, great. [12th-16thc.]"
335,much,To a great extent.
336,much,A large amount or great extent.
337,down,"Soft, fluffy immature feathers which grow on young birds. Used as insulating material in duvets, sleeping bags and jackets."
338,down,"(transitive) To cover, ornament, line, or stuff with down."
339,down,"(especially southern England) A hill, especially a chalk hill; rolling grassland"
340,down,(comparable) From a higher position to a lower one; downwards.
341,down,From the higher end to the lower of.
342,down,"(informal) sad, unhappy, Depressed, feeling low."
343,down,"(transitive) To drink or swallow, especially without stopping before the vessel containing the liquid is empty."
344,down,A negative aspect; a downer.
345,after,Behind; later in time; following.
346,after,Subsequently to; following in time; later than.
347,after,Signifies that the action of the clause it starts takes place before the action of the other clause.
348,after,"(dated) Later; second (of two); next, following, subsequent"
349,first,(obsolete) Time; time granted; respite.
350,first,Preceding all others of a series or kind; the ordinal of one; earliest.
351,first,Before anything else; firstly.
352,first,(uncountable) The person or thing in the first position.
353,Mr,"(Britain) Alternative form of Mr.. Abbreviation of mister, March."
354,good,"(transitive, now chiefly  dialectal, Scotland) To furnish with dung; manure; fatten with manure; fertilise."
355,good,(uncountable) The forces or behaviours that are the enemy of evil. Usually consists of helping others and general benevolence.
356,good,(nonstandard) Well; satisfactorily or thoroughly.
357,good,(of people)
358,good,That is good; an elliptical exclamation of satisfaction or commendation.
359,good,"(intransitive, now chiefly  dialectal) To thrive; fatten; prosper; improve."
360,men,plural form of man
361,own,"(transitive, obsolete) To grant; give."
362,own,"Belonging to; possessed; proper to. Often marks a possessive determiner as reflexive, referring back to the subject of the clause or sentence."
363,own,"(transitive) To have rightful possession of (property, goods or capital); to have legal title to."
364,never,At no time; on no occasion; in no circumstance.
365,most,superlative degree of much.
366,most,Forms the superlative of many adjectives.
367,most,"The greater part of a group, especially a group of people."
368,most,(uncountable) The greatest amount.
369,old,"Of an object, concept, relationship, etc., having existed for a relatively long period of time."
370,old,"(with ""the"") People who are old; old beings; the older generation, taken as a group."
371,shall,"(modal, auxiliary  verb, defective) Used before a verb to indicate the simple future tense in the first person singular or plural."
372,day,Any period of 24 hours.
373,day,"(rare, intransitive) To spend a day (in a place)."
374,where,While on the contrary; although; whereas.
375,where,"Interrogative adverb, used in either a direct or indirect question: at what place; to what place; what place."
376,where,The place in which.
377,where,The place in which something happens.
378,those,plural of that
379,those,plural of that
380,came,simple past tense of come
381,came,"Used to indicate that the following event, period, or change in state occurred in the past, after a time of waiting, enduring, or anticipation"
382,came,A grooved strip of lead used to hold panes of glass together.
383,come,(intransitive) To move from further away to nearer to.
384,come,"(obsolete) Coming, arrival; approach."
385,come,"Used to indicate an event, period, or change in state occurring after a present time."
386,come,An exclamation to express annoyance.
387,come,"(typography, obsolete) Alternative form of comma in its medieval use as a middot ⟨·⟩ serving as a form of colon."
388,himself,(reflexive) Him; the male object of a verb or preposition that also appears as the subject
389,way,(heading) To do with a place or places.
390,way,(only in reply to no way) It is true.
391,way,(obsolete) To travel.
392,way,"(informal, with comparative or modified adjective) Much."
393,way,The letter for the w sound in Pitman shorthand.
394,work,(intransitive) To do a specific task by employing physical or mental powers.
395,work,"(heading, uncountable) Employment."
396,life,"(uncountable) The state of organisms preceding their death, characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects; the state of being alive and living."
397,without,"(archaic or literary) Outside, externally."
398,without,"(archaic or literary) Outside of, beyond."
399,without,"(archaic, otherwise  nonstandard) Unless, except (introducing a clause)."
400,go,To move:
401,go,(uncommon) The act of going.
402,go,"(board games) A strategic board game, originally from China, in which two players (black and white) attempt to control the largest area of the board with their counters."
403,make,"(Scotland, Ireland, Northern England, now rare) A halfpenny. [from 16th c.]"
404,make,(transitive) To create.
405,make,(often of a car) Brand or kind; often paired with model.   syn. transl.
406,make,(dialectal) Mate; a spouse or companion.
407,well,"(manner) Accurately, competently, satisfactorily."
408,well,In good health.
409,well,Used to acknowledge a statement or situation.
410,well,"A hole sunk into the ground as a source of water, oil, natural gas or other fluids."
411,well,"(intransitive) To issue forth, as water from the earth; to flow; to spring."
412,through,"(obsolete) A coffin, sarcophagus or tomb of stone; a large slab of stone laid on a tomb."
413,through,From one side of an opening to the other.
414,through,Passing from one side of something to the other.
415,through,From one side to the other by way of the interior.
416,through,A large slab of stone laid in a dry-stone wall from one side to the other; a perpend.
417,being,present participle of be
418,being,A living creature.
419,being,(obsolete) Given that; since.
420,long,"(intransitive) To await, aspire, desire greatly (something to occur or to be true)"
421,long,longitude
422,long,Having much distance from one terminating point on an object or an area to another terminating point (usually applies to horizontal dimensions; see Usage Notes below).
423,long,Over a great distance in space.
424,long,(linguistics) A long vowel.
425,long,"(transitive, finance) To take a long position in."
