,kind,etag,id,status,htmlLink,created,updated,summary,creator,organizer,start,end,recurringEventId,originalStartTime,iCalUID,sequence,reminders,location,description,visibility
0,calendar#event,"""3116074901948000""",_6gok6d1g6h34cba188pj8b9k6ks3eba18kp3eba288sjah1g6sq4ch1p6k_20190102T040000Z,confirmed,https://www.google.com/calendar/event?eid=XzZnb2s2ZDFnNmgzNGNiYTE4OHBqOGI5azZrczNlYmExOGtwM2ViYTI4OHNqYWgxZzZzcTRjaDFwNmtfMjAxOTAxMDJUMDQwMDAwWiBoamM4MHNoOGc2MGk1MjRwZWdiN3BpaTZxY0Bn,2018-11-02T05:11:17.000Z,2019-06-03T14:40:25.407Z,Check account,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-01-02T05:00:00+01:00', 'timeZone': 'UTC'}","{'dateTime': '2019-01-02T06:00:00+01:00', 'timeZone': 'UTC'}",_6gok6d1g6h34cba188pj8b9k6ks3eba18kp3eba288sjah1g6sq4ch1p6k,"{'dateTime': '2019-01-02T05:00:00+01:00', 'timeZone': 'UTC'}",41C404FF-AB34-4587-AE27-BB95D074FD95,8,{'useDefault': True},,,
1,calendar#event,"""3098071321561000""",_8kpk8dq5692j6b9o6cq3eb9k6t244ba2652j0ba384s3gdpl6os46e1l6s_20190102T050000Z,confirmed,https://www.google.com/calendar/event?eid=XzhrcGs4ZHE1NjkyajZiOW82Y3EzZWI5azZ0MjQ0YmEyNjUyajBiYTM4NHMzZ2RwbDZvczQ2ZTFsNnNfMjAxOTAxMDJUMDUwMDAwWiBoamM4MHNoOGc2MGk1MjRwZWdiN3BpaTZxY0Bn,2018-11-02T05:11:45.000Z,2019-04-02T15:12:40.698Z,Cleanup - kitchen,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-01-02T06:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-01-02T07:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",_8kpk8dq5692j6b9o6cq3eb9k6t244ba2652j0ba384s3gdpl6os46e1l6s,"{'dateTime': '2019-01-02T06:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",E3D7E2E3-8347-47DB-B1E0-CA887568C857,2,{'useDefault': False},,,
2,calendar#event,"""3093797855321000""",_68q30h248h1jib9j8p1j6b9k6oqjeba16kqk4b9h8orj2cpl710k2dpo6s,confirmed,https://www.google.com/calendar/event?eid=XzY4cTMwaDI0OGgxamliOWo4cDFqNmI5azZvcWplYmExNmtxazRiOWg4b3JqMmNwbDcxMGsyZHBvNnMgaGpjODBzaDhnNjBpNTI0cGVnYjdwaWk2cWNAZw,2019-01-06T01:33:58.000Z,2019-01-09T18:43:36.901Z,Fingerprints ,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-01-09T19:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-01-09T20:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",,,240DDDC9-3FC3-4657-A55B-1F71358AA787,0,"{'useDefault': False, 'overrides': [{'method': 'popup', 'minutes': 5}]}","250 Broadway
San Francisco, CA, ארצות הברית",,
3,calendar#event,"""3095208873760000""",_clr6arjkbsp3adhg64ojee1m81mmapbkelo2sorfdk,confirmed,https://www.google.com/calendar/event?eid=X2NscjZhcmprYnNwM2FkaGc2NG9qZWUxbTgxbW1hcGJrZWxvMnNvcmZkayBoamM4MHNoOGc2MGk1MjRwZWdiN3BpaTZxY0Bn,2019-01-16T02:07:16.000Z,2019-01-16T02:07:16.880Z,How To Build Passive Wealth through Notes & Seller Financing- San Francisco,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-01-16T03:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-01-16T06:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",,,event_256011786@meetup.com,0,{'useDefault': True},"NY Life (425 Market Street, 9th Flooor, San Francisco, CA)","Bay Area Real Estate Moguls
Tuesday, January 15 at 6:00 PM

I am absolutely thrilled to have Mr. Martin Saenz and Mr. Dan Zitofsky, a very successful and well known team of Note and Seller Financing experts fro...

https://www.meetup.com/Bay-Area-Multifamily-Moguls/events/256011786/",public
4,calendar#event,"""3095294201743000""",_68o32e9g64ojcl1g68o32cpgb8mjidpm6krjedpi6506cp9o60t30ehg78o3ke1o6ot38dr6cot6cp9o6kt3ee1p6oimat3860,confirmed,https://www.google.com/calendar/event?eid=XzY4bzMyZTlnNjRvamNsMWc2OG8zMmNwZ2I4bWppZHBtNmtyamVkcGk2NTA2Y3A5bzYwdDMwZWhnNzhvM2tlMW82b3QzOGRyNmNvdDZjcDlvNmt0M2VlMXA2b2ltYXQzODYwIGhqYzgwc2g4ZzYwaTUyNHBlZ2I3cGlpNnFjQGc,2019-01-16T02:01:40.000Z,2019-01-17T01:55:00.969Z,2019 Real Estate Trends,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-01-17T03:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-01-17T04:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",,,20190116T020130Z-976577721@fe80:0:0:0:886:47ff:fe85:7896%eth0,0,"{'useDefault': False, 'overrides': [{'method': 'popup', 'minutes': 10}]}",https://zoom.us/w/976577721?tk=ZUNIJf1Yfx7KPkXlWp98kP74w-cKoSsmhE41KIrnI8M.DQEAAAAAOjVkuRZfZmVnME90QVRTaWhrM2FOZURPZnJBAA&uuid=WN_qg1PeqomQ3WxzcpHcRLdXg,"Join from a PC, Mac, iPad, iPhone or Android device:
    Please click this URL to join. https://zoom.us/w/976577721?tk=ZUNIJf1Yfx7KPkXlWp98kP74w-cKoSsmhE41KIrnI8M.DQEAAAAAOjVkuRZfZmVnME90QVRTaWhrM2FOZURPZnJBAA&uuid=WN_qg1PeqomQ3WxzcpHcRLdXg

Or join by phone:
    Dial(for higher quality, dial a number based on your current location):
        US: +1 669 900 6833  or +1 929 436 2866 
    Webinar ID: 976 577 721
    International numbers available: https://zoom.us/u/ab0CKMMci7
",
5,calendar#event,"""3096766481643000""",_6p0k6di26sr34ba66d33cb9k8oqjgba28go30b9k88pj2c2368rj8cho6s,confirmed,https://www.google.com/calendar/event?eid=XzZwMGs2ZGkyNnNyMzRiYTY2ZDMzY2I5azhvcWpnYmEyOGdvMzBiOWs4OHBqMmMyMzY4cmo4Y2hvNnMgaGpjODBzaDhnNjBpNTI0cGVnYjdwaWk2cWNAZw,2019-01-24T04:29:05.000Z,2019-01-26T00:25:35.719Z,"Test-driven development Kata, Chapter 2 - Themed Weekly Practice Session on Zoom","{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-01-26T02:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-01-26T03:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",,,6AC6B762-F3F6-4F58-BD00-4B310C274287,0,"{'useDefault': False, 'overrides': [{'method': 'popup', 'minutes': 120}]}","Marina Green, San Francisco, CA","View in app: meetup://Projects/events/257998288

View in browser: https://www.meetup.com/Projects/events/257998288/",
6,calendar#event,"""3097468385458000""",_892k8c9i6p13eb9i8h1jcb9k8go3aba1652k4b9o6or3ic9n68s3aea66k,confirmed,https://www.google.com/calendar/event?eid=Xzg5Mms4YzlpNnAxM2ViOWk4aDFqY2I5azhnbzNhYmExNjUyazRiOW82b3IzaWM5bjY4czNhZWE2NmsgaGpjODBzaDhnNjBpNTI0cGVnYjdwaWk2cWNAZw,2019-01-29T03:56:32.000Z,2019-01-29T03:56:32.729Z,Interview - Preparation,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-01-28T06:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-01-28T08:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",,,BED126B7-2DC6-4D05-A1EB-8669172859F5,0,{'useDefault': True},,,
7,calendar#event,"""3097112216745000""",_8534agpj6t1jeba17113ib9k8l230ba26l334b9n84r38g9l6cp36ha488,confirmed,https://www.google.com/calendar/event?eid=Xzg1MzRhZ3BqNnQxamViYTE3MTEzaWI5azhsMjMwYmEyNmwzMzRiOW44NHIzOGc5bDZjcDM2aGE0ODggaGpjODBzaDhnNjBpNTI0cGVnYjdwaWk2cWNAZw,2019-01-24T04:29:14.000Z,2019-01-30T00:27:42.494Z,Meet the Makers for an Open Q&A session!,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-01-30T03:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-01-30T05:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",,,AFEC37C7-A8B9-4ED0-B5F2-7A64A5323EDB,0,"{'useDefault': False, 'overrides': [{'method': 'popup', 'minutes': 120}]}","44 Tehama St, San Francisco, CA 94105, San Francisco, CA","View in app: meetup://San-Francisco-Big-Data-Science/events/258338367

View in browser: https://www.meetup.com/San-Francisco-Big-Data-Science/events/258338367/",
8,calendar#event,"""3097287078446000""",_6co3cgpo6gsj2ba58l236b9k6ko4ab9p6114cba38p2j0cpn6l14chi26s,confirmed,https://www.google.com/calendar/event?eid=XzZjbzNjZ3BvNmdzajJiYTU4bDIzNmI5azZrbzRhYjlwNjExNGNiYTM4cDJqMGNwbjZsMTRjaGkyNnMgaGpjODBzaDhnNjBpNTI0cGVnYjdwaWk2cWNAZw,2019-01-24T04:22:59.000Z,2019-02-01T01:08:18.791Z,Future-proof your Career: Expert Panel Discussion on Opportunities in AI,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-02-01T03:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-02-01T05:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",,,306C8491-EED3-450E-90BF-CFE0375BFFB7,0,"{'useDefault': False, 'overrides': [{'method': 'popup', 'minutes': 120}]}","450 Townsend St, San Francisco, CA","View in app: meetup://San-Francisco-AI-Meetup/events/258080832

View in browser: https://www.meetup.com/San-Francisco-AI-Meetup/events/258080832/",
9,calendar#event,"""3097879874067000""",_74q38h9n8goj8ba665230b9k60pj4ba18cojgb9k8d0j4chk8kojcd2174,confirmed,https://www.google.com/calendar/event?eid=Xzc0cTM4aDluOGdvajhiYTY2NTIzMGI5azYwcGo0YmExOGNvamdiOWs4ZDBqNGNoazhrb2pjZDIxNzQgaGpjODBzaDhnNjBpNTI0cGVnYjdwaWk2cWNAZw,2019-01-31T00:47:45.000Z,2019-02-01T01:23:28.603Z,Future-proof your Career: Expert Panel Discussion on Opportunities in AI,"{'email': 'jvalansi@gmail.com', 'displayName': 'Jordan Valansi'}","{'email': 'hjc80sh8g60i524pegb7pii6qc@group.calendar.google.com', 'displayName': 'Plan', 'self': True}","{'dateTime': '2019-02-01T03:00:00+01:00', 'timeZone': 'America/Los_Angeles'}","{'dateTime': '2019-02-01T05:00:00+01:00', 'timeZone': 'America/Los_Angeles'}",,,944E7D14-F1D0-4032-AC18-4CA224E164A9,0,"{'useDefault': False, 'overrides': [{'method': 'popup', 'minutes': 120}]}","450 Townsend St, San Francisco, CA","View in app: meetup://San-Francisco-Big-Data-Science/events/258172281

View in browser: https://www.meetup.com/San-Francisco-Big-Data-Science/events/258172281/",
