summary,duration,count
Day off,3 days 00:00:00.000000000,3
Social - Mati - Shasta Lake,2 days 00:00:00.000000000,1
Cancun - Tulum,2 days 00:00:00.000000000,1
Cancun - Isla Mujeres,2 days 00:00:00.000000000,1
Cancun - Beach,2 days 00:00:00.000000000,1
 Social - Jonathan - Fundemica,2 days 00:00:00.000000000,1
Cleanup - email,1 days 18:30:00.000000000,34
Code - Text2Vid,1 days 14:30:00.000000000,18
Code - Problem Solving,1 days 13:30:00.000000000,30
Social - Mati,1 days 11:00:00.000000000,10
.,1 days 00:00:00.000000000,1
יום חופש,1 days 00:00:00.000000000,1
Learn - Power and Politics,1 days 00:00:00.000000000,15
Socail - Mushroom ceremony - Riccardo,0 days 17:00:00.000000000,1
Shiran - Beach,0 days 16:00:00.000000000,5
Code - Interview - Preparation - System Design,0 days 16:00:00.000000000,8
Flight  UA955 TLV to SFO,0 days 15:05:00.000000000,1
Flight  UA954 SFO to TLV,0 days 13:55:00.000000000,1
Social - Monica,0 days 13:00:00.000000000,4
Flight to San Francisco (DL 4362),0 days 11:05:00.000000000,1
Social - Mati - Movie night,0 days 11:00:00.000000000,3
Social - Sella,0 days 11:00:00.000000000,4
Plan - Week,0 days 10:00:00.000000000,10
Shiran - Park,0 days 10:00:00.000000000,2
Social - Gilad Shamri,0 days 09:00:00.000000000,2
"Social - Eyal, Daniel, Ziv, Guy",0 days 09:00:00.000000000,2
ML - Interview,0 days 09:00:00.000000000,5
Social - Mati - BBQ,0 days 08:30:00.000000000,2
Social - Liad,0 days 08:00:00.000000000,3
Social - Liad - Move,0 days 08:00:00.000000000,1
Check account,0 days 07:30:00.000000000,8
ML - Face detection,0 days 07:00:00.000000000,3
Social - Mati - Hike + Dinner,0 days 07:00:00.000000000,1
Social - Limor - wedding,0 days 06:00:00.000000000,1
Code - System design,0 days 06:00:00.000000000,3
Social - Sivan,0 days 06:00:00.000000000,2
Cleanup - bathroom,0 days 06:00:00.000000000,6
Cheeps - Elastic Beans,0 days 06:00:00.000000000,2
What to do,0 days 06:00:00.000000000,6
Flight to London (DL 4421),0 days 05:20:00.000000000,1
Social - Mati - Beach,0 days 05:00:00.000000000,1
Social - Sella - Hike,0 days 05:00:00.000000000,1
Social - Nir,0 days 05:00:00.000000000,1
Real Estate - LLC,0 days 05:00:00.000000000,2
Social - Shiran's Family,0 days 05:00:00.000000000,1
"Social - Maya, Gal - Park",0 days 05:00:00.000000000,1
Analyze - Poker,0 days 05:00:00.000000000,2
Analyze - previous year budget,0 days 05:00:00.000000000,1
Analyze - previous year investments,0 days 05:00:00.000000000,1
Social - Isaac,0 days 05:00:00.000000000,1
Haircut,0 days 05:00:00.000000000,5
Social - Family,0 days 05:00:00.000000000,1
"Social - Javi, Ralph",0 days 05:00:00.000000000,1
Super Bowl Party!,0 days 05:00:00.000000000,1
Taxes,0 days 05:00:00.000000000,2
Code - Interview - C++,0 days 05:00:00.000000000,3
Code - Problem Solving - Leetcode,0 days 05:00:00.000000000,3
Social - Mati - Hike,0 days 05:00:00.000000000,1
Trip - Lunch + Park presidio,0 days 05:00:00.000000000,1
"Social - Sella, Mati, Gal - Duboce Park",0 days 05:00:00.000000000,1
Shiran - Lake,0 days 04:30:00.000000000,1
Postnup,0 days 04:30:00.000000000,4
Startup - YC - Talk to potential users,0 days 04:00:00.000000000,2
Plan - Mexico,0 days 04:00:00.000000000,2
Social - Ofir,0 days 04:00:00.000000000,1
Shiran - Brunch,0 days 04:00:00.000000000,1
Social - Valansi,0 days 04:00:00.000000000,1
Shiran - Lunch @ Park + Coffee,0 days 04:00:00.000000000,1
"Social - Javi, JP",0 days 04:00:00.000000000,1
Analyze - Pallacies,0 days 04:00:00.000000000,1
"Social - Bot, Rafaeli",0 days 04:00:00.000000000,1
Analyze - Free Will,0 days 04:00:00.000000000,2
Social - Ralph,0 days 04:00:00.000000000,1
Social - Daniel - Wedding,0 days 04:00:00.000000000,1
"Social - Mati, Liad - Seder",0 days 04:00:00.000000000,1
Social - Maya,0 days 04:00:00.000000000,1
Social - Gal,0 days 04:00:00.000000000,1
Social - Family - beach,0 days 04:00:00.000000000,1
Social - Mati - Burningman Museum,0 days 04:00:00.000000000,1
Shiran,0 days 04:00:00.000000000,3
Social - Javi,0 days 04:00:00.000000000,1
"Social - Yoni, Anna",0 days 04:00:00.000000000,2
"Social - Eyal, Daniel, Ziv",0 days 04:00:00.000000000,1
Social - Kristian,0 days 04:00:00.000000000,1
"Social - Meils, Javier, JP",0 days 03:30:00.000000000,1
Shiran - KISS concert,0 days 03:30:00.000000000,1
Analyze - Flexible withdrawal rate,0 days 03:30:00.000000000,2
"Social - Mati, Sella",0 days 03:00:00.000000000,1
"Social - Eyal, Daniel",0 days 03:00:00.000000000,1
Shiran - Golden Gate Park,0 days 03:00:00.000000000,1
Social - Elior,0 days 03:00:00.000000000,1
Social - Cambria - Zoom Party,0 days 03:00:00.000000000,1
Social - Sella - Podcast,0 days 03:00:00.000000000,3
ML - Deepmoney - Training on sample,0 days 03:00:00.000000000,1
Trip - London,0 days 03:00:00.000000000,1
Family - Bbq,0 days 03:00:00.000000000,1
Code - Text2Vid - Wikipedia,0 days 03:00:00.000000000,1
Reset Mac,0 days 03:00:00.000000000,1
Game developement - Unity,0 days 03:00:00.000000000,1
Code - Interview - Statistical Questions,0 days 03:00:00.000000000,1
Code - Interview - Preparation,0 days 03:00:00.000000000,1
Code - Interview - Plan,0 days 03:00:00.000000000,1
Learn - Unity,0 days 03:00:00.000000000,1
ML - Deepmoney - P/E to price change,0 days 03:00:00.000000000,1
ML - Deepmoney - Preprocessing,0 days 03:00:00.000000000,1
Errands - Change address,0 days 03:00:00.000000000,1
Twitch Music Presents...,0 days 03:00:00.000000000,1
Social - Tal + Mati,0 days 03:00:00.000000000,1
Analyze - GDP vs Income,0 days 03:00:00.000000000,1
Real Estate - New lease + cleaning,0 days 03:00:00.000000000,1
"Social - Liran, Itay, Michal",0 days 02:45:00.000000000,1
Investments - Real Estate - Sign contract,0 days 02:30:00.000000000,1
Plan - Week - System Design,0 days 02:30:00.000000000,1
Real Estate - Sign Contract,0 days 02:15:00.000000000,1
Analyze - Inequality in America,0 days 02:00:00.000000000,1
Analyze - IQ by country,0 days 02:00:00.000000000,1
הסכם ממון,0 days 02:00:00.000000000,2
"Cocktails and Tech Networking Mixer | San Francisco W Hotel | Feb. 18, 2020",0 days 02:00:00.000000000,1
Analyze - GDP vs S&P 500,0 days 02:00:00.000000000,1
Social - Mati - App,0 days 02:00:00.000000000,1
Code - Problem solving - Advents,0 days 02:00:00.000000000,1
"Analyze - Inflation, interest rate, real estate prices",0 days 02:00:00.000000000,1
Analyze - rewards,0 days 02:00:00.000000000,1
Startup founders breakfast ,0 days 02:00:00.000000000,1
Social - Mati - Dinner,0 days 02:00:00.000000000,1
Shiran - Anniversary,0 days 02:00:00.000000000,1
"Featuring PyTorch with FB, Autodesk and AWS",0 days 02:00:00.000000000,1
"Social - Sella, Mati",0 days 02:00:00.000000000,1
Read - Crystal Society,0 days 02:00:00.000000000,2
Shiran - Movie,0 days 02:00:00.000000000,1
Politics - Debate,0 days 02:00:00.000000000,1
Real Estate - New lease + Paint,0 days 02:00:00.000000000,1
Social - Cambria,0 days 02:00:00.000000000,1
Politics - Arie Eldad,0 days 02:00:00.000000000,1
Social - David Pervan,0 days 02:00:00.000000000,1
Kicking off 2020 at Microsoft Reactor,0 days 02:00:00.000000000,1
Social - Tal Abib,0 days 02:00:00.000000000,1
Social - Jason,0 days 02:00:00.000000000,1
Social - Vronsky,0 days 02:00:00.000000000,1
Keystone/Jordan NLP Conversation,0 days 01:30:00.000000000,2
Analyze - Police Unjustified Shooting vs. Race,0 days 01:30:00.000000000,1
Startup - YC - Group session,0 days 01:30:00.000000000,2
Problem solving - HRT,0 days 01:30:00.000000000,1
Hang picture,0 days 01:15:00.000000000,1
ברכה לדניאל ויונית,0 days 01:00:00.000000000,1
What course,0 days 01:00:00.000000000,1
Who to donate to,0 days 01:00:00.000000000,1
Umbrella insurance ,0 days 01:00:00.000000000,1
Startup - YC - Application,0 days 01:00:00.000000000,1
Startup School Group Session,0 days 01:00:00.000000000,1
Real Estate - Talk to tenants regarding complaint,0 days 01:00:00.000000000,1
Social - Jewbilee,0 days 01:00:00.000000000,1
Shiran - Tik Tok,0 days 01:00:00.000000000,1
Analyze - Civilian casualties ratio,0 days 01:00:00.000000000,1
Analyze - Habit,0 days 01:00:00.000000000,1
Analyze - Haplogroups,0 days 01:00:00.000000000,1
Analyze - Plan vs. Execute,0 days 01:00:00.000000000,1
Analyze - Robo advisors,0 days 01:00:00.000000000,1
Ashley ,0 days 01:00:00.000000000,1
Book flights,0 days 01:00:00.000000000,1
Cleanup - computer,0 days 01:00:00.000000000,1
Cleanup - mail,0 days 01:00:00.000000000,1
Code - Leetcode - Analyze,0 days 01:00:00.000000000,1
Course - Learn how to learn,0 days 01:00:00.000000000,1
E*TRADE for Shiran,0 days 01:00:00.000000000,1
Find chat,0 days 01:00:00.000000000,1
IRA,0 days 01:00:00.000000000,1
Interview,0 days 01:00:00.000000000,1
Investments - Real Estate - Analyze syndications,0 days 01:00:00.000000000,1
ML - Course - statistics,0 days 01:00:00.000000000,1
Read - Sella's Book,0 days 01:00:00.000000000,1
Real Estate - Paint,0 days 01:00:00.000000000,1
Real Estate - Refinance,0 days 01:00:00.000000000,1
Real Estate - Talk to Hemlane regarding complaint about tenants,0 days 01:00:00.000000000,1
Talk to mint - Optum bank,0 days 00:30:00.000000000,1
Call - HSBC ,0 days 00:30:00.000000000,1
Send contract to lawyer,0 days 00:30:00.000000000,1
לשלוח דואר לשכנה ,0 days 00:30:00.000000000,1
