,0,1,2,3,duration
0,haircut,,,,0 days 01:00:00.000000000
1,social,tal abib,,,0 days 02:00:00.000000000
2,learn,power and politics,,,0 days 01:00:00.000000000
3,shiran,lunch @ park + coffee,,,0 days 04:00:00.000000000
4,social,mati,hike,,0 days 05:00:00.000000000
5,social,david pervan,,,0 days 02:00:00.000000000
6,cleanup,email,,,0 days 01:00:00.000000000
7,haircut,,,,0 days 01:00:00.000000000
8,cleanup,email,,,0 days 01:00:00.000000000
9,what course,,,,0 days 01:00:00.000000000
10,cleanup,email,,,0 days 01:00:00.000000000
11,social,mati,shasta lake,,2 days 00:00:00.000000000
12,code,problem solving,,,0 days 01:00:00.000000000
13,social,elior,,,0 days 03:00:00.000000000
14,code,problem solving,,,0 days 01:00:00.000000000
15,shiran,anniversary,,,0 days 02:00:00.000000000
16,code,text2vid,,,0 days 03:00:00.000000000
17,social,mati,movie night,,0 days 03:00:00.000000000
18,taxes,,,,0 days 02:00:00.000000000
19,.,,,,1 days 00:00:00.000000000
20,social,cambria,,,0 days 02:00:00.000000000
21,ml,deepmoney,preprocessing,,0 days 03:00:00.000000000
22,plan,week,,,0 days 01:00:00.000000000
23,analyze,gdp vs s&p 500,,,0 days 02:00:00.000000000
24,code,interview,preparation,,0 days 03:00:00.000000000
25,social,gal,,,0 days 04:00:00.000000000
26,shiran,beach,,,0 days 04:00:00.000000000
27,learn,power and politics,,,0 days 01:00:00.000000000
28,ml,interview,,,0 days 01:00:00.000000000
29,analyze,habit,,,0 days 01:00:00.000000000
30,postnup,,,,0 days 00:30:00.000000000
31,social,"yoni, anna",,,0 days 03:00:00.000000000
32,code,problem solving,advents,,0 days 02:00:00.000000000
33,cleanup,email,,,0 days 01:00:00.000000000
34,code,problem solving,,,0 days 01:00:00.000000000
35,social,family,beach,,0 days 04:00:00.000000000
36,social,liad,,,0 days 02:00:00.000000000
37,social,family,,,0 days 05:00:00.000000000
38,shiran,beach,,,0 days 03:00:00.000000000
39,code,text2vid,,,0 days 01:00:00.000000000
40,game developement,unity,,,0 days 03:00:00.000000000
41,הסכם ממון,,,,0 days 01:00:00.000000000
42,cleanup,email,,,0 days 01:00:00.000000000
43,social,"eyal, daniel, ziv, guy",,,0 days 05:00:00.000000000
44,code,leetcode,analyze,,0 days 01:00:00.000000000
45,shiran,kiss concert,,,0 days 03:30:00.000000000
46,read,sella's book,,,0 days 01:00:00.000000000
47,social,mati,,,0 days 04:00:00.000000000
48,code,interview,preparation,system design,0 days 03:00:00.000000000
49,analyze,iq by country,,,0 days 02:00:00.000000000
50,social,sella,,,0 days 03:00:00.000000000
51,analyze,free will,,,0 days 01:00:00.000000000
52,send contract to lawyer,,,,0 days 00:30:00.000000000
53,social,valansi,,,0 days 04:00:00.000000000
54,flight  ua954 sfo to tlv,,,,0 days 13:55:00.000000000
55,social,sella,,,0 days 02:00:00.000000000
56,real estate,new lease + cleaning,,,0 days 03:00:00.000000000
57,umbrella insurance,,,,0 days 01:00:00.000000000
58,call,hsbc,,,0 days 00:30:00.000000000
59,social,limor,wedding,,0 days 06:00:00.000000000
60,code,problem solving,,,0 days 02:00:00.000000000
61,social,mati,,,0 days 03:00:00.000000000
62,shiran,beach,,,0 days 03:00:00.000000000
63,code,system design,,,0 days 02:00:00.000000000
64,what to do,,,,0 days 01:00:00.000000000
65,what to do,,,,0 days 01:00:00.000000000
66,learn,power and politics,,,0 days 02:00:00.000000000
67,real estate,sign contract,,,0 days 02:15:00.000000000
68,social,sella,hike,,0 days 05:00:00.000000000
69,learn,unity,,,0 days 03:00:00.000000000
70,shiran,movie,,,0 days 02:00:00.000000000
71,kicking off 2020 at microsoft reactor,,,,0 days 02:00:00.000000000
72,social,mati,dinner,,0 days 02:00:00.000000000
73,code,interview,preparation,system design,0 days 02:00:00.000000000
74,social,maya,,,0 days 04:00:00.000000000
75,social,"mati, sella",,,0 days 03:00:00.000000000
76,cleanup,email,,,0 days 01:00:00.000000000
77,ml,face detection,,,0 days 03:00:00.000000000
78,cleanup,email,,,0 days 02:00:00.000000000
79,code,text2vid,,,0 days 02:00:00.000000000
80,what to do,,,,0 days 01:00:00.000000000
81,day off,,,,1 days 00:00:00.000000000
82,social,sivan,,,0 days 03:00:00.000000000
83,code,interview,preparation,system design,0 days 02:00:00.000000000
84,keystone/jordan nlp conversation,,,,0 days 00:45:00.000000000
85,analyze,police unjustified shooting vs. race,,,0 days 01:30:00.000000000
86,code,text2vid,,,0 days 03:00:00.000000000
87,code,problem solving,,,0 days 01:00:00.000000000
88,errands,change address,,,0 days 03:00:00.000000000
89,social,javi,,,0 days 04:00:00.000000000
90,code,text2vid,,,0 days 02:00:00.000000000
91,code,system design,,,0 days 03:00:00.000000000
92,social,"mati, liad",seder,,0 days 04:00:00.000000000
93,cleanup,email,,,0 days 01:00:00.000000000
94,cancun,beach,,,2 days 00:00:00.000000000
95,haircut,,,,0 days 01:00:00.000000000
96,cleanup,email,,,0 days 01:30:00.000000000
97,plan,week,system design,,0 days 02:30:00.000000000
98,social,liad,,,0 days 03:00:00.000000000
99,code,problem solving,,,0 days 01:00:00.000000000
100,social,sella,podcast,,0 days 01:00:00.000000000
101,plan,week,,,0 days 01:00:00.000000000
102,code,problem solving,leetcode,,0 days 03:00:00.000000000
103,ml,course,statistics,,0 days 01:00:00.000000000
104,analyze,flexible withdrawal rate,,,0 days 01:30:00.000000000
105,flight to london (dl 4421),,,,0 days 05:20:00.000000000
106,cheeps,elastic beans,,,0 days 03:00:00.000000000
107,what to do,,,,0 days 01:00:00.000000000
108,hang picture,,,,0 days 01:15:00.000000000
109,code,text2vid,,,0 days 02:00:00.000000000
110,social,liad,move,,0 days 08:00:00.000000000
111,social,mati,,,0 days 02:30:00.000000000
112,cleanup,bathroom,,,0 days 01:00:00.000000000
113,check account,,,,0 days 01:00:00.000000000
114,analyze,free will,,,0 days 03:00:00.000000000
115,shiran,,,,0 days 02:00:00.000000000
116,social,mati,,,0 days 03:00:00.000000000
117,social,mati,,,0 days 02:30:00.000000000
118,shiran,lake,,,0 days 04:30:00.000000000
119,code,text2vid,,,0 days 02:30:00.000000000
120,e*trade for shiran,,,,0 days 01:00:00.000000000
121,cleanup,computer,,,0 days 01:00:00.000000000
122,learn,power and politics,,,0 days 02:00:00.000000000
123,plan,week,,,0 days 01:00:00.000000000
124,cleanup,email,,,0 days 02:00:00.000000000
125,social,"meils, javier, jp",,,0 days 03:30:00.000000000
126,postnup,,,,0 days 01:00:00.000000000
127,code,text2vid,,,0 days 03:00:00.000000000
128,social,mati,,,0 days 03:00:00.000000000
129,socail,mushroom ceremony,riccardo,,0 days 17:00:00.000000000
130,startup,yc,group session,,0 days 01:00:00.000000000
131,real estate,paint,,,0 days 01:00:00.000000000
132,real estate,talk to hemlane regarding complaint about tenants,,,0 days 01:00:00.000000000
133,code,interview,c++,,0 days 01:30:00.000000000
134,code,problem solving,,,0 days 01:00:00.000000000
135,learn,power and politics,,,0 days 02:00:00.000000000
136,learn,power and politics,,,0 days 01:00:00.000000000
137,social,"maya, gal",park,,0 days 05:00:00.000000000
138,social,daniel,wedding,,0 days 04:00:00.000000000
139,code,text2vid,,,0 days 02:00:00.000000000
140,code,problem solving,,,0 days 01:00:00.000000000
141,יום חופש,,,,1 days 00:00:00.000000000
142,family,bbq,,,0 days 03:00:00.000000000
143,social,gilad shamri,,,0 days 07:00:00.000000000
144,code,text2vid,,,0 days 02:00:00.000000000
145,analyze,previous year investments,,,0 days 05:00:00.000000000
146,social,gilad shamri,,,0 days 02:00:00.000000000
147,cleanup,email,,,0 days 01:00:00.000000000
148,cleanup,email,,,0 days 01:00:00.000000000
149,code,interview,preparation,system design,0 days 02:00:00.000000000
150,social,mati,,,0 days 05:00:00.000000000
151,code,problem solving,,,0 days 01:00:00.000000000
152,trip,lunch + park presidio,,,0 days 05:00:00.000000000
153,code,problem solving,,,0 days 01:00:00.000000000
154,social,monica,,,0 days 04:00:00.000000000
155,code,text2vid,,,0 days 02:30:00.000000000
156,social,sivan,,,0 days 03:00:00.000000000
157,cancun,tulum,,,2 days 00:00:00.000000000
158,social,kristian,,,0 days 04:00:00.000000000
