nr. 	Reconstruction 	IPA 	value 	Ugaritic 	Phoenician 	Hebrew 	Arabic 	Greek 	Latin 	Cyrillic 	Runic
1 	ʾalpu "ox" 	/ʔ/ 	1 	𐎀 	Aleph ʾālep 	א‬ ʾālef 	ﺍ‬ ʾalif 	Α alpha 	A 	А azŭ 	ᚨ *ansuz
2 	baytu "house" 	/b/ 	2 	𐎁 	Beth bēt 	ב‬ bēṯ 	ﺏ‬ bāʾ 	Β bēta 	B 	В vĕdĕ, Б buky 	ᛒ *berkanan
3 	gamlu "throwstick" 	/ɡ/ 	3 	𐎂 	Gimel gīmel 	ג‬ gīmel 	ﺝ‬ jīm 	Γ gamma 	C, G 	Г glagoli 	ᚲ *kaunan
4 	daltu "door" / diggu "fish" 	/d/, /ð/ 	4 	𐎄 	Daleth dālet 	ד‬ dāleṯ 	ﺩ‬ dāl, ذ‬ ḏāl 	Δ delta 	D 	Д dobro 	
5 	haw "window" / hallu "jubilation" 	/h/ 	5 	𐎅 	He hē 	ה‬ hē 	ﻫ‬ hāʾ 	Ε epsilon 	E 	Е ye, Є estĭ 	
6 	wāwu "hook" 	/β/ or /w/ 	6 	𐎆 	Waw wāw 	ו‬ vāv 	و‬ wāw 	Ϝ digamma, Υ upsilon 	F, V, Y 	Ѹ / Ꙋ ukŭ → У 	ᚢ *ûruz / *ûram
7 	zaynu "weapon" / ziqqu "manacle" 	/z/ 	7 	𐎇 	Zayin zayin 	ז‬ zayin 	ز‬ zayn or zāy 	Ζ zēta 	Z 	Ꙁ / З zemlya 	
8 	ḥaytu "thread" / "fence"? 	/ħ/, /x/ 	8 	𐎈 	Heth ḥēt 	ח‬ ḥēṯ 	ح‬ ḥāʾ, خ‬ ḫāʾ 	Η ēta 	H 	И iže 	ᚺ *haglaz
9 	ṭaytu "wheel" 	/tˤ/, /θˤ/ 	9 	𐎉 	Teth ṭēt 	ט‬ ṭēṯ 	ط‬ ṭāʾ, ظ‬ ẓāʾ 	Θ thēta 		Ѳ fita 	
10 	yadu "arm" 	/j/ 	10 	𐎊 	Yodh yōd 	י‬ yōḏ 	ي‬ yāʾ 	Ι iota 	I 	І ižei 	ᛁ *isaz
11 	kapu "hand" 	/k/ 	20 	𐎋 	Kaph kap 	כ ך‬ kāf 	ك‬ kāf 	Κ kappa 	K 	К kako 	
12 	lamdu "goad" 	/l/ 	30 	𐎍 	Lamedh lāmed 	ל‬ lāmeḏ 	ل‬ lām 	Λ lambda 	L 	Л lyudiye 	ᛚ *laguz / *laukaz
13 	mayim "waters" 	/m/ 	40 	𐎎 	Mem mēm 	מ ם‬ mēm 	م‬ mīm 	Μ mu 	M 	М myslite 	
14 	naḥšu "snake" / nunu "fish" 	/n/ 	50 	𐎐 	Nun nun 	נ ן‬ nun 	ن‬ nūn 	Ν nu 	N 	Н našĭ 	
15 	samku "support" / "fish" ? 	/s/ 	60 	𐎒 	Samek sāmek 	ס‬ sāmeḵ 		Ξ ksi, (Χ ksi) 	(X) 	Ѯ ksi, (Х xĕrŭ) 	
16 	ʿaynu "eye" 	/ʕ/, /ɣ/ 	70 	𐎓 	Ayin ʿayin 	ע‬ ʿayin 	ع‬ ʿayn, غ‬ ġayn 	Ο omikron 	O 	О onŭ 	
17 	pu "mouth" / piʾtu "corner" 	/p/ 	80 	𐎔 	Pe pē 	פ ף‬ pē 	ف‬ fāʾ 	Π pi 	P 	П pokoi 	
18 	ṣadu "plant" 	/sˤ/, /ɬˤ/ 	90 	𐎕 	Sade ṣādē 	צ ץ‬ ṣāḏi 	ص‬ ṣād, ض‬ ḍād 	Ϻ san, (Ϡ sampi) 		Ц tsi, Ч črvĭ 	
19 	qupu "Copper"? 	/kˤ/ or /q/ 	100 	𐎖 	Qoph qōp 	ק‬ qōf 	ق‬ qāf 	Ϙ koppa 	Q 	Ҁ koppa 	
20 	raʾsu "head" 	/r/ or /ɾ/ 	200 	𐎗 	Res rēš 	ר‬ rēš 	ر‬ rāʾ 	Ρ rho 	R 	Р rĭtsi 	ᚱ *raidô
21 	šinnu "tooth" / šimš "sun" 	/ʃ/, /ɬ/ 	300 	𐎌 	Sin šin 	ש‬ šin/śin 	س‬ sīn, ش‬ šīn 	Σ sigma, ϛ stigma 	S 	С slovo, Ш ša, Щ šta, Ꙃ / Ѕ dzĕlo 	ᛊ *sowilô
22 	tawu "mark" 	/t/, /θ/ 	400 	𐎚 	Taw tāw 	ת‬ tāv 	ت‬ tāʾ, ث‬ ṯāʾ 	Τ tau 	T 	Т tvrdo 	ᛏ *tîwaz

