,Word,definition
208,man,An adult male human.
228,time,(uncountable) The inevitable progression into the future with the passing of present events into the past.
276,made,(Britain dialectal or obsolete) A grub or maggot.
339,down,"(especially southern England) A hill, especially a chalk hill; rolling grassland"
353,Mr,"(Britain) Alternative form of Mr.. Abbreviation of mister, March."
360,men,plural form of man
372,day,Any period of 24 hours.
389,way,(heading) To do with a place or places.
395,work,"(heading, uncountable) Employment."
396,life,"(uncountable) The state of organisms preceding their death, characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects; the state of being alive and living."
436,might,"(countable, uncountable) Power, strength, force or influence held by a person or group."
472,people,Used as plural of person; a body of human beings considered generally or collectively; a group of two or more persons.
487,thought,"Form created in the mind, rather than the forms perceived through the five senses; an instance of thinking."
503,hand,"The part of the fore limb below the forearm or wrist in a human, and the corresponding part in many other animals."
505,eyes,plural of eye
513,place,(physical) An area; somewhere within an area.
515,while,"An uncertain duration of time, a period of time."
536,things,plural of thing
547,god,"A deity or supreme being; a supernatural, typically immortal, being with superior powers."
550,years,plural of year.
556,face,"(anatomy) The front part of the head, featuring the eyes, nose, and mouth and the surrounding area."
575,part,A portion; a component.
582,saw,"A tool with a toothed blade used for cutting hard substances, in particular wood or metal"
584,house,A structure built or serving as an abode of human beings. [from 9thc.]
587,world,"(with ""the"") Human collective existence; existence in general."
589,head,"(countable) The part of the body of an animal or human which contains the brain, mouth, and main sense organs."
599,love,(uncountable) Strong affection.
604,Mrs,"Abbreviation of Missus or Mistress, used before an adult woman's name or surname, used for any high-status woman without regard to marital status until the 1800s, after which it began to be reserved for married women and used with their married surnames."
609,night,"(countable) The period between sunset and sunrise, when a location faces far away from the sun, thus when the sky is dark."
614,king,"A male monarch; a man who heads a monarchy. If it's an absolute monarchy, then he is the supreme ruler of his nation."
622,mind,The ability for rational thought.
624,heart,"(anatomy) A muscular organ that pumps blood through the body, traditionally thought to be the seat of emotion."
631,thing,"That which is considered to exist as a separate entity, object, quality or concept."
665,name,"Any nounal word or phrase which indicates a particular person, place, class, or thing."
667,days,plural of day
675,lord,(obsolete) The master of the servants of a household; (historical) the master of a feudal manor
677,country,"(chiefly British) An area of land; a district, region. [from 13th c.]"
693,home,(heading) A dwelling.
700,side,A bounding straight edge of a two-dimensional shape.
707,moment,"A brief, unspecified amount of time."
708,father,A (generally human) male who begets a child.
711,course,A sequence of events.
714,hands,plural of hand
716,woman,An adult female human.
722,words,plural of word
