Table with row headings in Column A and column headings are in row 6.  Leading dots indicate sub-parts.,,,,,,,,,,,,,,
Table 8. Gross Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(See definition of Gross Vacancy Rate at end of table),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,2015,2016,2017,2018,,,,,,,,,
,,,,,,,,,,,,,,
,  Inside Metropolitan Statistical Areas..........................................,11.3,11.3,11.3,10.8,,,,,,,,,
,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",11.6,10.4,8.8,5.6,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",13.2,11.8,10.5,11.6,,,,,,,,,
,"Albuquerque, NM...................................................................................................",9.3,9.2,8.9,8.3,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",9.1,7.4,9.5,9.3,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",11.0,9.7,8.9,7.8,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",9.2,8.2,10.4,9.7,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",10.7,12.8,12.2,10.1,,,,,,,,,
,"Baton Rouge, LA……………………………………….",11.8,12.3,13.6,13.0,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",16.0,16.7,15.6,13.9,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",9.9,7.8,7.6,7.5,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",11.3,8.6,9.3,10.4,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",12.3,11.6,12.4,9.5,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",37.0,38.5,39.1,41.5,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",14.3,14.8,16.5,16.0,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",8.2,7.7,6.9,8.5,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",9.7,8.6,8.4,7.5,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",10.5,9.2,8.4,6.8,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",11.0,11.1,9.2,10.4,,,,,,,,,
,"Columbia, SC………………………………………….",11.0,10.2,11.0,8.9,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",9.6,8.0,6.6,7.4,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",8.0,7.9,7.8,7.8,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",11.4,12.0,11.1,11.0,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",7.4,6.4,7.8,8.0,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",9.7,8.3,8.1,9.2,,,,,,,,,
,"Fresno, CA………………………………………………",8.2,6.2,4.0,4.3,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",9.2,7.1,8.5,8.9,,,,,,,,,
