,rent,price,price_to_rent,forecast,state,vacancy,vacancy_rent,price_to_vacancy_rent
Rochester NY,1100.0,72700.0,66.0909090909091,1.4928431927834218,NY,9.9,991.1,73.35284027847845
Syracuse NY,1200.0,83600.0,69.66666666666667,3.4041783328629953,NY,10.8,1070.4,78.101644245142
Cleveland OH,900.0,66900.0,74.33333333333333,,,10.4,806.4,82.96130952380953
Easton PA,1300.0,102100.0,78.53846153846153,,,9.3,1179.1000000000001,86.59146806886608
Baltimore MD,1345.0,115600.0,85.94795539033457,-0.16500946908655226,MD,10.1,1209.155,95.60395482795838
New Haven CT,1400.0,137700.0,98.35714285714286,1.3926163806357916,CT,10.9,1247.4,110.38961038961038
Providence RI,2100.0,207500.0,98.80952380952381,2.945463447417485,RI,10.3,1883.7,110.15554493815362
Toledo OH,795.0,79800.0,100.37735849056604,2.758024324340824,OH,12.3,697.215,114.45536886039457
Allentown PA,1250.0,127200.0,101.76,4.676367620721434,PA,9.3,1133.75,112.19404630650496
Philadelphia PA,1450.0,157300.0,108.48275862068965,0.6752216950786094,PA,9.0,1319.5,119.21182266009852
Memphis TN,895.0,98000.0,109.49720670391062,,,12.6,782.23,125.2828451989824
Bridgeport CT,1600.0,181400.0,113.375,4.160442392908004,CT,10.4,1433.6000000000001,126.53459821428571
Bethlehem PA,1395.0,158900.0,113.9068100358423,1.597203217690657,PA,9.3,1265.265,125.58633962055379
Grand Rapids MI,1450.0,165300.0,114.0,4.162719196824316,MI,8.9,1320.95,125.13721185510428
Clearwater FL,1679.0,191600.0,114.1155449672424,4.340478225365718,FL,16.1,1408.681,136.0137603900386
Dearborn MI,1200.0,138100.0,115.08333333333333,,,9.2,1089.6000000000001,126.74375917767986
Pittsburgh PA,1400.0,164100.0,117.21428571428571,-0.7943718648274034,PA,10.2,1257.2,130.52815781100858
Jacksonville FL,1245.0,147900.0,118.79518072289157,4.337453251088096,FL,10.1,1119.255,132.1414691022153
West Palm Beach FL,1750.0,211700.0,120.97142857142858,3.637995936164917,FL,14.9,1489.25,142.15208997817695
Columbus OH,1300.0,158700.0,122.07692307692308,4.549390008295816,OH,7.4,1203.8,131.83253032065127
Fort Myers FL,1685.0,206600.0,122.6112759643917,1.669700064642177,FL,41.5,985.7249999999999,209.5919247254559
Columbia SC,1159.0,143100.0,123.46850733390855,2.810710556485674,SC,8.9,1055.849,135.53074350593693
Cincinnati OH,1262.5,156000.0,123.56435643564356,3.333307566615984,OH,6.8,1176.6499999999999,132.57978158330857
Atlanta GA,1795.0,225600.0,125.6824512534819,4.406528204252869,GA,7.8,1654.99,136.3150230514988
Bradenton FL,1865.0,234500.0,125.7372654155496,3.071041706280697,FL,31.5,1277.525,183.55805170153224
Elgin IL,1575.0,199100.0,126.41269841269842,1.3794048356134292,IL,7.5,1456.875,136.66237666237666
Sarasota FL,2000.0,255400.0,127.7,2.7645576433580117,FL,31.5,1370.0,186.42335766423358
Miami FL,2400.0,307500.0,128.125,-0.5000664263399957,FL,14.9,2042.3999999999999,150.5581668625147
North Port FL,1500.0,192600.0,128.4,3.3649849121055952,FL,31.5,1027.5,187.44525547445255
North Charleston SC,1350.0,173800.0,128.74074074074073,4.127642808004151,SC,16.0,1134.0,153.26278659611992
Milwaukee WI,1075.0,139300.0,129.58139534883722,3.6369854502770864,WI,8.1,987.9250000000001,141.00260647316344
East Hartford CT,1295.0,171000.0,132.04633204633205,0.9176647436252904,CT,7.2,1201.76,142.29130608440954
Kansas City KS,950.0,128300.0,135.05263157894737,6.624895806650666,KS,7.8,875.9000000000001,146.47790843703618
West Hartford CT,2097.5,284500.0,135.63766388557806,,,7.2,1946.4799999999998,146.1612757387695
High Point NC,1000.0,137700.0,137.7,2.6685197179747933,NC,11.6,884.0,155.76923076923077
Warren MI,950.0,131600.0,138.52631578947367,,,9.2,862.6,152.56202179457455
Milford CT,1870.0,260100.0,139.0909090909091,1.4217132024261003,CT,10.9,1666.17,156.10651974288336
Cape Coral FL,1600.0,227600.0,142.25,1.8562034938681249,FL,41.5,936.0,243.16239316239316
Gastonia NC,995.0,142800.0,143.5175879396985,4.035862905181786,NC,8.5,910.4250000000001,156.84982288491636
Baton Rouge LA,1250.0,179400.0,143.52,-0.29748832097964417,LA,13.0,1087.5,164.9655172413793
Minneapolis MN,1782.5,256000.0,143.61851332398317,1.8039170422593507,MN,3.9,1712.9824999999998,149.44694414566408
Norfolk VA,1321.0,191700.0,145.11733535200605,1.7613408315555912,VA,8.9,1203.431,159.2945503315105
Newport News VA,1200.0,174800.0,145.66666666666666,1.2959455876481396,VA,8.9,1093.2,159.89754848152214
Knoxville TN,1200.0,175600.0,146.33333333333334,3.9606314272848437,TN,10.9,1069.2,164.23494201271978
Conway AR,1100.0,161700.0,147.0,2.014399428598379,AR,10.5,984.5,164.24581005586592
