"State","medianPropertyTax","Pop"
"New Jersey","0.0189",8922547
"New Hampshire","0.0186",1363852
"Texas","0.0181",29087070
"Nebraska","0.0176",1940919
"Wisconsin","0.0176",5832661
"Illinois","0.0173",12700381
"Connecticut","0.0163",3567871
"Michigan","0.0162",10020472
"Vermont","0.0159",627180
"North Dakota","0.0142",760900
"Ohio","0.0136",11718568
"Pennsylvania","0.0135",12813969
"Rhode Island","0.0135",1056738
"Iowa","0.0129",3167997
"Kansas","0.0129",2910931
"South Dakota","0.0128",892631
"New York","0.0123",19491339
"Maine","0.0109",1342097
"Minnesota","0.0105",5655925
"Alaska","0.0104",735720
"Massachusetts","0.0104",6939373
"Florida","0.0097",21646155
"Washington","0.0092",7666343
"Missouri","0.0091",6147861
"Maryland","0.0087",6062917
"Oregon","0.0087",4245901
"Indiana","0.0085",6718616
"Nevada","0.0084",3087025
"Georgia","0.0083",10627767
"Montana","0.0083",1074532
"North Carolina","0.0078",10497741
"California","0.0074",39747267
"Oklahoma","0.0074",3948950
"Virginia","0.0074",8571946
"Arizona","0.0072",7275070
"Kentucky","0.0072",4484047
"Idaho","0.0069",1790182
"Tennessee","0.0068",6833793
"Colorado","0.0060",5770545
"Utah","0.0060",3221610
"Wyoming","0.0058",572381
"New Mexico","0.0055",2096034
"Arkansas","0.0052",3026412
"Mississippi","0.0052",2987895
"South Carolina","0.0050",5147111
"West Virginia","0.0049",1791951
"District of Columbia","0.0046",711571
"Delaware","0.0043",975033
"Alabama","0.0033",4898246
"Hawaii","0.0026",1416589
"Louisiana","0.0018",4652581
