text	label	is_action	names	dates	locations
- Ricci, you'll hang posters.	False	True	[Ricci]	[]	[]
Stop, Antonio.	False	True	[Antonio]	[]	[]
We'll take care of that, Antonio.	False	True	[Antonio]	[]	[]
Dear God, bless me with light.	False	True	[God]	[]	[]
Maria, let's go.	False	True	[Maria]	[]	[]
Hurry up, Bruno.	False	True	[Bruno]	[]	[]
See, Ricci... to do this job, you've got to be very intelligent.	False	True	[Ricci]	[]	[]
I'll see you, Ricci.	False	True	[Ricci]	[]	[]
Excuse me, Baiocco, listen.	False	True	[Baiocco]	[]	[]
They'll sell it at Piazza Vittorio.	False	True	[Piazza, Vittorio]	[]	[]
Meniconi and Bagonghi, come over here.	False	True	[Meniconi, Bagonghi]	[]	[]
Bagonghi, let's go this way.	False	True	[Bagonghi]	[]	[]
Remember, Bruno, pump and bell.	False	True	[Bruno, bell]	[]	[]
Bruno, if we find it, we'll celebrate.	False	True	[Bruno]	[]	[]
Wake up, Bagonghi!	False	True	[Bagonghi]	[]	[]
Remember, a Fides.	False	True	[Fides]	[]	[]
Antonio, he'll go with you.	False	True	[Antonio]	[]	[]
Take him to the Porta Portese.	False	True	[Portese]	[]	[Porta]
Come back, Bruno!	False	True	[Bruno]	[]	[]
"""Send us, o Lord, guidance from within..."""	False	True	[Lord]	[]	[]
You'll find him after Mass!	False	True	[Mass]	[]	[]
Come on, Bruno.	False	True	[Bruno]	[]	[]
Come on, Bruno!	False	True	[Bruno]	[]	[]
If Mama could see us!	False	True	[Mama]	[]	[]
We'll go every day to the Porta Portese.	False	True	[Portese]	[]	[Porta]
Dear God, send me your light.	False	True	[God]	[]	[]
Maria, stop shouting.	False	True	[Maria]	[]	[]
My God, look at my son!	False	True	[God]	[]	[]
Stay out of the Via Panico!	False	True	[Via, Panico]	[]	[]
Wait at Monte Sacro.	False	True	[Monte, Sacro]	[]	[]
And you can thank God.	False	True	[God]	[]	[]
Leave her alone, Durga.	False	True	[Durga]	[]	[]
You should hear what they say when Durga takes a few guavas.	False	True	[Durga]	[]	[]
Wake up, Apu, it's time to go to school.	False	True	[Apu]	[]	[]
Wait, Mr. Chakrabarti.	False	True	[Mr., Chakrabarti]	[]	[]
Sude, come here and bring your slate with you.	False	True	[Sude]	[]	[]
Durga, come and help me when you are free.	False	True	[Durga]	[]	[]
We owe Mrs. Mukherji five rupees, she'll press for repayment.	False	True	[Mrs., Mukherji]	[]	[]
Tunu, come and play.	False	True	[Tunu]	[]	[]
Durga, come here.	False	True	[Durga]	[]	[]
Tell Durga to come in for her meal.	False	True	[Durga]	[]	[]
Raju gave it to me, to keep me warm in the evenings.	False	True	[Raju]	[]	[]
I did ask Hori for a shawl.	False	True	[Hori]	[]	[]
Tell your mother that Auntie has come to stay.	False	True	[Auntie]	[]	[]
Durga, go and find the calf.	False	True	[Durga]	[]	[]
Apu, let's look for Auntie.	False	True	[Apu, Auntie]	[]	[]
I'll call at Bistupar on the way back.	False	True	[Bistupar]	[]	[]
Let Durga come with me, I'll give her something to tide you over.	False	True	[Durga]	[]	[]
Mother Goddess, counsel me, I know not how to pray.	False	True	[Mother, Goddess]	[]	[]
Mother Goddess, grant me this boon.	False	True	[Mother, Goddess]	[]	[]
-Oh, come on in, Jack.	False	True	[Jack]	[]	[]
Sit down a minute, Jack.	False	True	[Jack]	[]	[]
And ask Bill Watson to join us.	False	True	[Bill, Watson]	[]	[]
Now, come on, Tony.	False	True	[Tony]	[]	[]
Bill, I'd like you to meet Jack Torrance.	False	True	[Bill, Jack, Torrance]	[]	[]
Grab a chair, Bill.	False	True	[Bill]	[]	[]
Now, Tony, tell me.	False	True	[Tony]	[]	[]
"Wake up, Danny, wake up."""	False	True	[Danny]	[]	[]
Dick, come on over and say hello to Mr. and Mrs. Torrance.	False	True	[Dick, Mr., Mrs., Torrance]	[]	[]
Glad to meet you.	False	True	[Glad]	[]	[]
The Torrances will take care of the Overlook this winter.	False	True	[Torrances, Overlook]	[this winter]	[]
See you later, hon.	False	True	[hon]	[]	[]
Now think real hard, Doc.	False	True	[Doc]	[]	[]
Well you know, Doc, when something happens it can leave a trace of itself behind.	False	True	[Doc]	[]	[]
Keep America clean.	False	True	[America]	[]	[]
Come on, hon.	False	True	[hon]	[]	[]
Come and play with us, Danny.	False	True	[Danny]	[]	[]
Remember what Mr. Hallorann said.	False	True	[Mr., Hallorann]	[]	[]
Now come on, Doc.	False	True	[Doc]	[]	[]
Honey, let me just go get him out of here.	False	True	[Honey]	[]	[]
Say, Lloyd it seems I'm temporarily light.	False	True	[Lloyd]	[]	[]
Our weather expert, Walter Cronice will have the local forecast later on Newswatch.	False	True	[Walter, Cronice, Newswatch]	[]	[]
Drink up, Mr. Torrance.	False	True	[Mr., Torrance]	[]	[]
I'll just hold this for you there, Jeevesy.	False	True	[Jeevesy]	[]	[]
I'll just set my bourbon and advocaat down right there.	False	True	[advocaat]	[]	[]
Come on, hon.	False	True	[hon]	[]	[]
Pardon me, miss.	False	True	[miss]	[]	[]
The storm will continue through the day and the Weather Service has declared a stockman 's and traveler's advisory for all areas outlying the Denver metro region.	False	True	[Weather, Service]	[the day]	[Denver]
Put that bat down, Wendy.	False	True	[Wendy]	[]	[]
Go check out the Snowcat and the radio, and you'll see what I mean.	False	True	[Snowcat]	[]	[]
Just give me one more chance to prove it, Mr. Grady.	False	True	[Mr., Grady]	[]	[]
Danny, stop it!	False	True	[Danny]	[]	[]
Tome, bring me the logs.	False	True	[Tome]	[]	[]
"The one you saw must come from ""the middle house."""	False	True	[middle]	[]	[]
Narayama That she should go to that age	False	True	[Narayama]	[]	[]
I'll get Tatsuhei.	False	True	[Tatsuhei]	[]	[]
I'll get Tatsuhei.	False	True	[Tatsuhei]	[]	[]
Then, please talk to the god the house, and beg him.	False	True	[god]	[]	[]
Ask these guys also to pray The god of our house.	False	True	[god]	[]	[]
As usual, he must make amends To the god of Narayama.	False	True	[Narayama]	[]	[]
We'll meet in Teru To discuss.	False	True	[Teru]	[]	[]
Discuss all that good With Orin.	False	True	[Orin]	[]	[]
I shall see Matsu in the mountains.	False	True	[Matsu]	[]	[]
After having crossed You get to Narayama.	False	True	[Narayama]	[]	[]
Perhaps Mr. trainee could tell me where she is suppose to stand.	False	True	[Mr.]	[]	[]
Jump, you stinking Swede!	False	True	[Swede]	[]	[]
Count on me, Bengta.	False	True	[Bengta]	[]	[]
Ex cuse me.	False	True	[Ex]	[]	[]
You can lie there and cry, but if one can't read Aspasia's name one ought to show a little respect.	False	True	[Aspasia]	[]	[]
- Speak Swedish with your father!	False	True	[Swedish]	[]	[]
N ils, get your father some water.	False	True	[N]	[]	[]
If you give me the bag, I'll give it to the Missus so no one sees it.	False	True	[Missus]	[]	[]
Pelle, go down and tell them how he bullies me.	False	True	[Pelle]	[]	[]
God who keeps his children near, look at me who's kneeling here.	False	True	[God]	[]	[]
Ex cept with his missus.	False	True	[Ex]	[]	[]
- And I can make Bismarck...	False	True	[Bismarck]	[]	[]
Damn the Stone Farm.	False	True	[Stone, Farm]	[]	[]
Go home, Pelle!	False	True	[Pelle]	[]	[]
Lasse, run down to the store and get us some brandy.	False	True	[Lasse]	[]	[]
"Get Lasse Karlsson."""	False	True	[Lasse, Karlsson]	[]	[]
Maybe now Our Lord will receive him.	False	True	[Lord]	[]	[]
Come on, Erik.	False	True	[Erik]	[]	[]
He can work if he wants, the bloody Stone Farm manager.	False	True	[Stone, Farm]	[]	[]
Get back to work, Erik.	False	True	[Erik]	[]	[]
Let me see ... Isaiah and Daniel ...	False	True	[Isaiah, Daniel]	[]	[]
Come on, Erik.	False	True	[Erik]	[]	[]
Come on, Erik.	False	True	[Erik]	[]	[]
Come on, Erik.	False	True	[Erik]	[]	[]
Wake u p and fetch the doctor.	False	True	[u]	[]	[]
See what it says about Pelle.	False	True	[Pelle]	[]	[]
Watch out lecher's son!	False	True	[lecher]	[]	[]
Just wait, Pelle, we'II get you.	False	True	[Pelle, we'II]	[]	[]
Pelle, we could make it look like we were lodgers.	False	True	[Pelle]	[]	[]
Look how you' re cutting up the post and someone e lse has to fill in the holes with cow dung.	False	True	[lse]	[]	[]
Watch out I don't cut a picture of you and Madame Olsen on the gate.	False	True	[Madame, Olsen]	[]	[]
And tell her I'II come by this eveni ng.	False	True	[eveni, ng]	[]	[]
- Papa's little Pelle, come on.	False	True	[Papa, Pelle]	[]	[]
Go back to Sweden, you whoremonger's son.	False	True	[whoremonger]	[]	[Sweden]
Jesus, help me.	False	True	[Jesus]	[]	[]
Kiss her, lad.	False	True	[lad]	[]	[]
We can leave, Erik.	False	True	[Erik]	[]	[]
We can leave this awful place and go out and conquer the world, Erik.	False	True	[Erik]	[]	[]
The Lord forgive me for abusing his gifts but it's a terrible temptation when you' re broken-hearted.	False	True	[Lord]	[]	[]
I'II do what I can.	False	True	[I'II]	[]	[]
Maybe Pelle would Iike to become trainee here on Stone Farm.	False	True	[Pelle, Stone, Farm]	[]	[]
I could see what the Missus thought.	False	True	[Missus]	[]	[]
Wait, Erik!	False	True	[Erik]	[]	[]
Mr Dufresne, describe the confrontation you had with your wife the night she was murdered.	False	True	[Mr, Dufresne]	[]	[]
I must admit, I didn't think much of Andy, first time I laid eyes on him.	False	True	[Andy]	[]	[]
Put your trust in the Lord.	False	True	[Lord]	[]	[]
Pick up your clothes and Bible.	False	True	[Bible]	[]	[]
I wish I could tell you that Andy fought the good fight, and the Sisters let him be.	False	True	[Andy, Sisters]	[]	[]
Every so often, Andy would show up with fresh bruises.	False	True	[Andy]	[]	[]
Step aside, Mert.	False	True	[Mert]	[]	[]
Ask the IRS.	False	True	[IRS]	[]	[]
Or maybe make a few friends among us cons.	False	True	[us]	[]	[]
Hang on to your hat, Mr Farrell...	False	True	[Mr, Farrell]	[]	[]
"""Watch ye, therefore, for ye know not when the master of the house cometh. """	False	True	[ye, ye]	[]	[]
"And then Andy says to Mr Dekins, ""Do you want your sons to go to Harvard,"	False	True	[Andy, Mr, Dekins, Harvard]	[]	[]
Perhaps I could write to the State Senate and request funds from them.	False	True	[State, Senate]	[]	[]
