word,count,freq,log_freq,tfidf,tfiedf
realtor.com,8,1.07e-08,-18.35302209547855,-0.435895514012969,747663551.4018692
▪,63,1.07e-07,-16.050437002484504,-3.92512677319926,588785046.728972
gitlab,3,1.17e-08,-18.2636769951427,-0.16426046084793672,256410256.4102564
factfinder,2,1.05e-08,-18.371890579782935,-0.10886195905177387,190476190.47619048
את,3,1.66e-08,-17.913863141583914,-0.1674680651676981,180722891.56626508
kaggle,2,1.58e-08,-17.96325589691349,-0.11133839051659042,126582278.48101266
rsu,5,5.5e-08,-16.715932651713942,-0.299115825851771,90909090.9090909
0.5h,2,2.75e-08,-17.409079832273886,-0.1148825796233235,72727272.72727272
jira,4,6.31e-08,-16.578545067399244,-0.2412756960118153,63391442.15530903
10kwh,2,3.8e-08,-17.085679677220025,-0.11705709329588788,52631578.94736842
cocain,3,6.46e-08,-16.555051426157856,-0.18121357178388714,46439628.48297214
shauna,16,3.55e-07,-14.851148047470996,-1.0773577873479379,45070422.53521127
v1,35,9.55e-07,-13.861554496465681,-2.5249693321859428,36649214.659685865
duplexes,4,1.12e-07,-16.004766965651317,-0.24992553834645723,35714285.71428572
a0,6,1.74e-07,-15.564210537731881,-0.3854997968226122,34482758.62068965
zillow,5,1.66e-07,-15.611278048589869,-0.3202812725798346,30120481.927710842
b0,7,2.4e-07,-15.24262691360442,-0.4592384265308185,29166666.666666668
voxels,2,7.94e-08,-16.34876746869332,-0.12233338102275,25188916.876574308
asana,5,2.04e-07,-15.405145843102195,-0.324566872064947,24509803.92156863
cs6,2,1.07e-07,-16.050437002484504,-0.12460719914918285,18691588.785046726
2f,6,3.24e-07,-14.942522321154081,-0.4015386339096057,18518518.51851852
7g,3,1.62e-07,-15.635669501714027,-0.19186898262790292,18518518.51851852
shekels,5,3.09e-07,-14.989924560048665,-0.3335573824918414,16181229.773462785
v2,32,2e-06,-13.122363377404328,-2.438585114561106,16000000.0
zipline,2,1.26e-07,-15.886983929994933,-0.12588921904956177,15873015.873015875
joules,5,3.24e-07,-14.942522321154081,-0.3346155282580047,15432098.765432099
