word,count,freq,log_freq,tfidf,tfiedf,Topic,,,
realtor.com,8,1.07E-08,-18.3530221,-0.435895514,747663551.4,real estate,0,TRUE,8
▪,63,1.07E-07,-16.050437,-3.925126773,588785046.7,,71,FALSE,8
gitlab,3,1.17E-08,-18.263677,-0.1642604608,256410256.4,code,74,TRUE,11
factfinder,2,1.05E-08,-18.37189058,-0.1088619591,190476190.5,,76,FALSE,11
את,3,1.66E-08,-17.91386314,-0.1674680652,180722891.6,,79,FALSE,11
kaggle,2,1.58E-08,-17.9632559,-0.1113383905,126582278.5,ml,81,TRUE,13
rsu,5,5.50E-08,-16.71593265,-0.2991158259,90909090.91,money,86,TRUE,18
0.5h,2,2.75E-08,-17.40907983,-0.1148825796,72727272.73,project management,88,TRUE,20
jira,4,6.31E-08,-16.57854507,-0.241275696,63391442.16,project management,92,TRUE,24
10kwh,2,3.80E-08,-17.08567968,-0.1170570933,52631578.95,physics,94,TRUE,26
cocain,3,6.46E-08,-16.55505143,-0.1812135718,46439628.48,hobby,97,TRUE,29
shauna,16,3.55E-07,-14.85114805,-1.077357787,45070422.54,Shiran,113,TRUE,45
v1,35,9.55E-07,-13.8615545,-2.524969332,36649214.66,,148,FALSE,45
duplexes,4,1.12E-07,-16.00476697,-0.2499255383,35714285.71,real estate,152,TRUE,49
a0,6,1.74E-07,-15.56421054,-0.3854997968,34482758.62,,158,FALSE,49
zillow,5,1.66E-07,-15.61127805,-0.3202812726,30120481.93,real estate,163,TRUE,54
b0,7,2.40E-07,-15.24262691,-0.4592384265,29166666.67,,170,FALSE,54
voxels,2,7.94E-08,-16.34876747,-0.122333381,25188916.88,,172,FALSE,54
asana,5,2.04E-07,-15.40514584,-0.3245668721,24509803.92,project management,177,TRUE,59
cs6,2,1.07E-07,-16.050437,-0.1246071991,18691588.79,,179,FALSE,59
7g,3,1.62E-07,-15.6356695,-0.1918689826,18518518.52,,188,FALSE,59
2f,6,3.24E-07,-14.94252232,-0.4015386339,18518518.52,,185,FALSE,59
shekels,5,3.09E-07,-14.98992456,-0.3335573825,16181229.77,money,193,TRUE,64
v2,32,2.00E-06,-13.12236338,-2.438585115,16000000,,225,FALSE,64
zipline,2,1.26E-07,-15.88698393,-0.125889219,15873015.87,money,227,TRUE,66
joules,5,3.24E-07,-14.94252232,-0.3346155283,15432098.77,physics,232,TRUE,71
10110101101,2,1.32E-07,-15.84046391,-0.1262589285,15151515.15,,234,FALSE,71
1g,5,3.55E-07,-14.85114805,-0.3366743085,14084507.04,,239,FALSE,71
bonobo,3,2.24E-07,-15.31161979,-0.1959296301,13392857.14,biology,242,TRUE,74
